gene_id	groups	n_groups
ENSG00000343	PG00156;PG00156b	2
ENSG00000347	PG00157	1
ENSG00000349	PG00158	1
ENSG00000352	PG00160	1
ENSG00000358	PG00163	1
ENSG00000359	PG00164	1
ENSG00000361	PG00165	1
ENSG00000363	PG00166	1
ENSG00000364	PG00167	1
ENSG00000365	PG00168	1
ENSG00000366	PG00169	1
ENSG00000367	PG00170	1
ENSG00000368	PG00171	1
ENSG00000370	PG00172	1
ENSG00000371	PG00173	1
ENSG00000381	PG00174	1
ENSG00000384	PG00176	1
ENSG00000386	PG00177	1
ENSG00000388	PG00179	1
ENSG00000390	PG00180	1
ENSG00000391	PG00181	1
ENSG00000393	PG00182	1
ENSG00000397	PG00184	1
ENSG00000401	PG00185	1
ENSG00000410	PG00188	1
ENSG00000411	PG00189;PG00189b	2
ENSG00000415	PG00191	1
ENSG00000417	PG00192;PG00192b	2
ENSG00000419	PG00194	1
ENSG00000420	PG00195	1
ENSG00000424	PG00196	1
ENSG00000425	PG00197	1
ENSG00000430	PG00198	1
ENSG00000432	PG00199	1
ENSG00000433	PG00200	1
ENSG00000436	PG00201	1
ENSG00000437	PG00202	1
ENSG00000440	PG00203	1
ENSG00000441	PG00204	1
ENSG00000443	PG00206	1
ENSG00000444	PG00207	1
ENSG00000446	PG00208	1
ENSG00000447	PG00209	1
ENSG00000448	PG00210	1
ENSG00000453	PG00211	1
ENSG00000454	PG00212	1
ENSG00000455	PG00213	1
ENSG00000457	PG00214	1
ENSG00000458	PG00215	1
ENSG00000461	PG00216	1
ENSG00000462	PG00217	1
ENSG00000463	PG00218	1
ENSG00000464	PG00219	1
ENSG00000465	PG00220	1
ENSG00000468	PG00221	1
ENSG00000470	PG00222	1
ENSG00000471	PG00223	1
ENSG00000477	PG00225	1
ENSG00000478	PG00226;PG00226b	2
ENSG00000479	PG00227	1
ENSG00000483	PG00229	1
ENSG00000485	PG00230	1
ENSG00000492	PG00231	1
ENSG00000494	PG00232	1
ENSG00000503	PG00234	1
ENSG00000504	PG00235	1
ENSG00000505	PG00236	1
ENSG00000508	PG00237	1
ENSG00000512	PG00238	1
ENSG00000514	PG00239	1
ENSG00000517	PG00240	1
ENSG00000519	PG00241	1
ENSG00000523	PG00242	1
ENSG00000532	PG00246	1
ENSG00000533	PG00247	1
ENSG00000535	PG00248	1
ENSG00000540	PG00249	1
ENSG00000544	PG00251	1
ENSG00000547	PG00252	1
ENSG00000552	PG00254	1
ENSG00000553	PG00255	1
ENSG00000555	PG00256	1
ENSG00000558	PG00257	1
ENSG00000559	PG00258	1
ENSG00000560	PG00259	1
ENSG00000566	PG00261;PG00261b	2
ENSG00000567	PG00262	1
ENSG00000568	PG00263	1
ENSG00000572	PG00264	1
ENSG00000573	PG00265	1
ENSG00000590	PG00267	1
ENSG00000592	PG00268	1
ENSG00000595	PG00269	1
ENSG00000597	PG00270	1
ENSG00000598	PG00271	1
ENSG00000599	PG00272	1
ENSG00000601	PG00273	1
ENSG00000604	PG00274	1
ENSG00000606	PG00275	1
ENSG00000607	PG00276	1
ENSG00000614	PG00277	1
ENSG00000619	PG00279	1
ENSG00000631	PG00281	1
ENSG00000634	PG00282	1
ENSG00000638	PG00284	1
ENSG00000641	PG00285	1
ENSG00000643	PG00286	1
ENSG00000644	PG00287	1
ENSG00000646	PG00288	1
ENSG00000648	PG00290	1
ENSG00000649	PG00291	1
ENSG00000651	PG00292	1
ENSG00000655	PG00293	1
ENSG00000659	PG00294	1
ENSG00000660	PG00295	1
ENSG00000661	PG00296	1
ENSG00000663	PG00298	1
ENSG00000664	PG00299	1
ENSG00000666	PG00301	1
ENSG00000667	PG00302	1
ENSG00000668	PG00303	1
ENSG00000671	PG00304	1
ENSG00000673	PG00305	1
ENSG00000675	PG00306	1
ENSG00000676	PG00307	1
ENSG00000678	PG00308	1
ENSG00000682	PG00309	1
ENSG00000683	PG00310	1
ENSG00000688	PG00311	1
ENSG00000693	PG00313	1
ENSG00000694	PG00314	1
ENSG00000699	PG00315	1
ENSG00000700	PG00316	1
ENSG00000705	PG00317	1
ENSG00000709	PG00318	1
ENSG00000710	PG00319	1
ENSG00000711	PG00320	1
ENSG00000714	PG00321	1
ENSG00000717	PG00323	1
ENSG00000722	PG00324	1
ENSG00000726	PG00326	1
ENSG00000729	PG00327	1
ENSG00000734	PG00328	1
ENSG00000736	PG00330	1
ENSG00000738	PG00331;PG00331b	2
ENSG00000740	PG00332	1
ENSG00000743	PG00334	1
ENSG00000749	PG00337	1
ENSG00000750	PG00338	1
ENSG00000752	PG00339	1
ENSG00000753	PG00340	1
ENSG00000760	PG00342	1
ENSG00000763	PG00343	1
ENSG00000769	PG00344	1
ENSG00000777	PG00345	1
ENSG00000779	PG00346	1
ENSG00000784	PG00347	1
ENSG00000788	PG00349	1
ENSG00000790	PG00350	1
ENSG00000791	PG00351	1
ENSG00000793	PG00352;PG00352b	2
ENSG00000796	PG00353	1
ENSG00000797	PG00354	1
ENSG00000799	PG00355	1
ENSG00000801	PG00356	1
ENSG00000802	PG00357	1
ENSG00000803	PG00358	1
ENSG00000816	PG00361	1
ENSG00000817	PG00362	1
ENSG00000820	PG00364	1
ENSG00000828	PG00366	1
ENSG00000829	PG00367	1
ENSG00000831	PG00369	1
ENSG00000832	PG00370	1
ENSG00000836	PG00371	1
ENSG00000837	PG00372	1
ENSG00000838	PG00373	1
ENSG00000839	PG00374	1
ENSG00000842	PG00375	1
ENSG00000844	PG00376;PG00376b	2
ENSG00000845	PG00377	1
ENSG00000848	PG00378	1
ENSG00000849	PG00379	1
ENSG00000850	PG00380	1
ENSG00000851	PG00381	1
ENSG00000854	PG00383	1
ENSG00000855	PG00384	1
ENSG00000856	PG00385	1
ENSG00000860	PG00387	1
ENSG00000862	PG00388	1
ENSG00000863	PG00389	1
ENSG00000866	PG00390	1
ENSG00000870	PG00391;PG00391b	2
ENSG00000873	PG00392	1
ENSG00000875	PG00393;PG00393b	2
ENSG00000880	PG00395	1
ENSG00000886	PG00398	1
ENSG00000888	PG00399	1
ENSG00000889	PG00400	1
ENSG00000894	PG00401	1
ENSG00000896	PG00402	1
ENSG00000897	PG00403	1
ENSG00000899	PG00404	1
ENSG00000901	PG00405	1
ENSG00000903	PG00406	1
ENSG00000908	PG00407	1
ENSG00000910	PG00408	1
ENSG00000914	PG00409	1
ENSG00000916	PG00410;PG00410b	2
ENSG00000921	PG00411	1
ENSG00000929	PG00413	1
ENSG00000930	PG00414	1
ENSG00000931	PG00415	1
ENSG00000934	PG00417	1
ENSG00000935	PG00418	1
ENSG00000938	PG00420	1
ENSG00000942	PG00421	1
ENSG00000953	PG00423	1
ENSG00000955	PG00424	1
ENSG00000956	PG00425;PG00425b	2
ENSG00000957	PG00426	1
ENSG00000959	PG00427	1
ENSG00000960	PG00428	1
ENSG00000961	PG00429	1
ENSG00000963	PG00430	1
ENSG00000965	PG00431	1
ENSG00000968	PG00432	1
ENSG00000970	PG00433	1
ENSG00000981	PG00435	1
ENSG00000982	PG00436	1
ENSG00000985	PG00437	1
ENSG00000988	PG00439	1
ENSG00000990	PG00440	1
ENSG00000991	PG00441	1
ENSG00000994	PG00443	1
ENSG00000995	PG00444	1
ENSG00000999	PG00445	1
ENSG00001005	PG00446	1
ENSG00001010	PG00448b	1
ENSG00001011	PG00449	1
ENSG00001014	PG00450	1
ENSG00001017	PG00452	1
ENSG00001018	PG00453	1
ENSG00001019	PG00454	1
ENSG00001020	PG00455	1
ENSG00001021	PG00456	1
ENSG00001024	PG00457	1
ENSG00001026	PG00458	1
ENSG00001028	PG00460	1
ENSG00001030	PG00461	1
ENSG00001031	PG00462	1
ENSG00001032	PG00463	1
ENSG00001035	PG00464	1
ENSG00001037	PG00465	1
ENSG00001039	PG00466;PG00466b	2
ENSG00001040	PG00467	1
ENSG00001047	PG00468	1
ENSG00001049	PG00469	1
ENSG00001053	PG00470	1
ENSG00001055	PG00471	1
ENSG00001062	PG00472	1
ENSG00001071	PG00474	1
ENSG00001073	PG00475	1
ENSG00001075	PG00476	1
ENSG00001076	PG00477	1
ENSG00001077	PG00478	1
ENSG00001081	PG00479	1
ENSG00001082	PG00480	1
ENSG00001083	PG00481	1
ENSG00001088	PG00483	1
ENSG00001089	PG00484	1
ENSG00001090	PG00485	1
ENSG00001092	PG00486	1
ENSG00001096	PG00487	1
ENSG00001097	PG00488	1
ENSG00001100	PG00490	1
ENSG00001102	PG00491	1
ENSG00001105	PG00492	1
ENSG00001107	PG00493	1
ENSG00001108	PG00494	1
ENSG00001109	PG00495	1
ENSG00001111	PG00496	1
ENSG00001112	PG00497	1
ENSG00001113	PG00498	1
ENSG00001114	PG00499	1
ENSG00001115	PG00500	1
ENSG00001123	PG00502	1
ENSG00001124	PG00503	1
ENSG00001125	PG00504	1
ENSG00001127	PG00506;PG00506b	2
ENSG00001128	PG00507	1
ENSG00001131	PG00508	1
ENSG00001136	PG00511	1
ENSG00001137	PG00512	1
ENSG00001138	PG00513	1
ENSG00001139	PG00514	1
ENSG00001143	PG00515	1
ENSG00001144	PG00516	1
ENSG00001145	PG00517	1
ENSG00001149	PG00518	1
ENSG00001152	PG00519	1
ENSG00001153	PG00520	1
ENSG00001154	PG00521	1
ENSG00001155	PG00522	1
ENSG00001158	PG00524	1
ENSG00001163	PG00526	1
ENSG00001164	PG00527	1
ENSG00001167	PG00528	1
ENSG00001168	PG00529	1
ENSG00001170	PG00530	1
ENSG00001171	PG00531	1
ENSG00001173	PG00532;PG00532b	2
ENSG00001174	PG00533	1
ENSG00001177	PG00534	1
ENSG00001183	PG00535	1
ENSG00001184	PG00536	1
ENSG00001186	PG00537	1
ENSG00001187	PG00538	1
ENSG00001188	PG00539	1
ENSG00001189	PG00540;PG00540b	2
ENSG00001190	PG00541	1
ENSG00001192	PG00542	1
ENSG00001193	PG00543	1
ENSG00001194	PG00544	1
ENSG00001195	PG00545	1
ENSG00001198	PG00546	1
ENSG00001199	PG00547	1
ENSG00001201	PG00548	1
ENSG00001209	PG00550	1
ENSG00001217	PG00553	1
ENSG00001219	PG00554	1
ENSG00001220	PG00555	1
ENSG00001225	PG00556	1
ENSG00001226	PG00557	1
ENSG00001227	PG00558	1
ENSG00001228	PG00559	1
ENSG00001229	PG00560	1
ENSG00001230	PG00561	1
ENSG00001238	PG00563	1
ENSG00001239	PG00564	1
ENSG00001240	PG00565	1
ENSG00001243	PG00566	1
ENSG00001244	PG00567	1
ENSG00001248	PG00568	1
ENSG00001249	PG00569	1
ENSG00001256	PG00570	1
ENSG00001257	PG00571	1
ENSG00001259	PG00572	1
ENSG00001261	PG00573	1
ENSG00001262	PG00574;PG00574b	2
ENSG00001263	PG00575	1
ENSG00001266	PG00576	1
ENSG00001268	PG00577	1
ENSG00001271	PG00578	1
ENSG00001281	PG00579	1
ENSG00001282	PG00580	1
ENSG00001284	PG00581	1
ENSG00001286	PG00582	1
ENSG00001296	PG00585	1
ENSG00001299	PG00587	1
ENSG00001304	PG00590	1
ENSG00001305	PG00591	1
ENSG00001307	PG00592	1
ENSG00001308	PG00593	1
ENSG00001318	PG00595	1
ENSG00001322	PG00596	1
ENSG00001323	PG00597	1
ENSG00001327	PG00599	1
ENSG00001331	PG00602	1
ENSG00001333	PG00603	1
ENSG00001336	PG00604	1
ENSG00001337	PG00605	1
ENSG00001343	PG00606	1
ENSG00001347	PG00607	1
ENSG00001348	PG00608	1
ENSG00001353	PG00609	1
ENSG00001354	PG00610	1
ENSG00001355	PG00611	1
ENSG00001357	PG00612	1
ENSG00001364	PG00613	1
ENSG00001366	PG00615	1
ENSG00001372	PG00617	1
ENSG00001373	PG00618	1
ENSG00001375	PG00619	1
ENSG00001377	PG00620	1
ENSG00001380	PG00621	1
ENSG00001383	PG00622	1
ENSG00001385	PG00623	1
ENSG00001388	PG00624	1
ENSG00001392	PG00626	1
ENSG00001395	PG00628	1
ENSG00001397	PG00629	1
ENSG00001405	PG00630	1
ENSG00001410	PG00632	1
ENSG00001426	PG00634	1
ENSG00001427	PG00635	1
ENSG00001434	PG00637	1
ENSG00001436	PG00638	1
ENSG00001439	PG00640	1
ENSG00001440	PG00641;PG00641b	2
ENSG00001443	PG00642	1
ENSG00001444	PG00643	1
ENSG00001449	PG00644	1
ENSG00001453	PG00646	1
ENSG00001454	PG00647	1
ENSG00001456	PG00648	1
ENSG00001458	PG00649	1
ENSG00001462	PG00651	1
ENSG00001463	PG00652	1
ENSG00001464	PG00653	1
ENSG00001467	PG00654	1
ENSG00001473	PG00657	1
ENSG00001474	PG00658	1
ENSG00001476	PG00659	1
ENSG00001478	PG00660	1
ENSG00001479	PG00661	1
ENSG00001484	PG00662	1
ENSG00001490	PG00664	1
ENSG00001492	PG00665	1
ENSG00001494	PG00666;PG00666b	2
ENSG00001502	PG00668	1
ENSG00001503	PG00669	1
ENSG00001505	PG00670	1
ENSG00001508	PG00671	1
ENSG00001511	PG00673	1
ENSG00001514	PG00674	1
ENSG00001516	PG00675	1
ENSG00001517	PG00676	1
ENSG00001519	PG00677	1
ENSG00001521	PG00678	1
ENSG00001522	PG00679	1
ENSG00001524	PG00680	1
ENSG00001539	PG00682	1
ENSG00001540	PG00683	1
ENSG00001542	PG00684	1
ENSG00001544	PG00685	1
ENSG00001549	PG00686	1
ENSG00001550	PG00687	1
ENSG00001552	PG00688	1
ENSG00001553	PG00689	1
ENSG00001554	PG00690	1
ENSG00001558	PG00691	1
ENSG00001561	PG00694	1
ENSG00001563	PG00695	1
ENSG00001564	PG00696	1
ENSG00001567	PG00697	1
ENSG00001570	PG00698	1
ENSG00001571	PG00699	1
ENSG00001572	PG00700;PG00700b	2
ENSG00001573	PG00701	1
ENSG00001577	PG00702	1
ENSG00001578	PG00703	1
ENSG00001583	PG00704	1
ENSG00001584	PG00705	1
ENSG00001587	PG00706	1
ENSG00001591	PG00707	1
ENSG00001593	PG00708	1
ENSG00001594	PG00709	1
ENSG00001596	PG00710	1
ENSG00001597	PG00711	1
ENSG00001599	PG00712	1
ENSG00001600	PG00713;PG00713b	2
ENSG00001601	PG00714	1
ENSG00001605	PG00715	1
ENSG00001606	PG00716	1
ENSG00001608	PG00718	1
ENSG00001610	PG00719	1
ENSG00001611	PG00720	1
ENSG00001613	PG00721	1
ENSG00001617	PG00723	1
ENSG00001621	PG00724	1
ENSG00001622	PG00725	1
ENSG00001623	PG00726	1
ENSG00001625	PG00727	1
ENSG00001629	PG00728	1
ENSG00001633	PG00729	1
ENSG00001634	PG00730	1
ENSG00001645	PG00732	1
ENSG00001648	PG00734	1
ENSG00001653	PG00737	1
ENSG00001656	PG00738	1
ENSG00001657	PG00739	1
ENSG00001658	PG00740	1
ENSG00001661	PG00741	1
ENSG00001664	PG00743	1
ENSG00001665	PG00744	1
ENSG00001670	PG00746	1
ENSG00001672	PG00747	1
ENSG00001673	PG00748	1
ENSG00001674	PG00749b	1
ENSG00001676	PG00750	1
ENSG00001677	PG00751	1
ENSG00001678	PG00752	1
ENSG00001679	PG00753	1
ENSG00001684	PG00755	1
ENSG00001685	PG00756	1
ENSG00001686	PG00757	1
ENSG00001688	PG00759;PG00759b	2
ENSG00001689	PG00760	1
ENSG00001690	PG00761	1
ENSG00001694	PG00763	1
ENSG00001698	PG00764	1
ENSG00001703	PG00765	1
ENSG00001704	PG00766;PG00766b	2
ENSG00001709	PG00769;PG00769b	2
ENSG00001711	PG00770	1
ENSG00001713	PG00772	1
ENSG00001715	PG00773	1
ENSG00001719	PG00774	1
ENSG00001721	PG00775	1
ENSG00001728	PG00777	1
ENSG00001729	PG00778	1
ENSG00001732	PG00779	1
ENSG00001733	PG00780	1
ENSG00001740	PG00782	1
ENSG00001741	PG00783	1
ENSG00001742	PG00784	1
ENSG00001743	PG00785	1
ENSG00001744	PG00786	1
ENSG00001745	PG00787	1
ENSG00001747	PG00788	1
ENSG00001748	PG00789	1
ENSG00001749	PG00790	1
ENSG00001752	PG00792	1
ENSG00001753	PG00793	1
ENSG00001755	PG00794	1
ENSG00001762	PG00795	1
ENSG00001763	PG00796	1
ENSG00001765	PG00798	1
ENSG00001767	PG00799	1
ENSG00001768	PG00800	1
ENSG00001778	PG00802	1
ENSG00001780	PG00803	1
ENSG00001781	PG00804	1
ENSG00001783	PG00805	1
ENSG00001785	PG00806	1
ENSG00001789	PG00808	1
ENSG00001791	PG00810	1
ENSG00001794	PG00812	1
ENSG00001798	PG00813	1
ENSG00001799	PG00814	1
ENSG00001802	PG00815	1
ENSG00001803	PG00816	1
ENSG00001804	PG00817	1
ENSG00001818	PG00818	1
ENSG00001823	PG00820	1
ENSG00001824	PG00821	1
ENSG00001825	PG00822	1
ENSG00001827	PG00823	1
ENSG00001830	PG00824	1
ENSG00001831	PG00825	1
ENSG00001835	PG00826	1
ENSG00001838	PG00827	1
ENSG00001840	PG00829	1
ENSG00001842	PG00830	1
ENSG00001846	PG00833	1
ENSG00001850	PG00834	1
ENSG00001855	PG00835	1
ENSG00001856	PG00836	1
ENSG00001858	PG00837	1
ENSG00001860	PG00838	1
ENSG00001864	PG00840	1
ENSG00001866	PG00841	1
ENSG00001873	PG00843	1
ENSG00001882	PG00845	1
ENSG00001884	PG00846	1
ENSG00001887	PG00847	1
ENSG00001889	PG00848	1
ENSG00001891	PG00849	1
ENSG00001895	PG00850	1
ENSG00001897	PG00852	1
ENSG00001902	PG00853	1
ENSG00001905	PG00855	1
ENSG00001912	PG00856	1
ENSG00001914	PG00857	1
ENSG00001918	PG00860	1
ENSG00001920	PG00861	1
ENSG00001922	PG00862	1
ENSG00001924	PG00863	1
ENSG00001928	PG00865	1
ENSG00001929	PG00866	1
ENSG00001935	PG00867	1
ENSG00001937	PG00868	1
ENSG00001938	PG00869	1
ENSG00001939	PG00870	1
ENSG00001940	PG00871	1
ENSG00001942	PG00872;PG00872b	2
ENSG00001947	PG00873	1
ENSG00001948	PG00874	1
ENSG00001949	PG00875	1
ENSG00001956	PG00878	1
ENSG00001957	PG00879	1
ENSG00001958	PG00880	1
ENSG00001962	PG00881	1
ENSG00001964	PG00882	1
ENSG00001968	PG00883	1
ENSG00001970	PG00884	1
ENSG00001972	PG00886	1
ENSG00001974	PG00887	1
ENSG00001975	PG00888	1
ENSG00001976	PG00889	1
ENSG00001981	PG00891	1
ENSG00001984	PG00892	1
ENSG00001985	PG00893	1
ENSG00001986	PG00894	1
ENSG00001989	PG00895	1
ENSG00001994	PG00897;PG00897b	2
ENSG00001998	PG00898	1
ENSG00002000	PG00899	1
ENSG00002006	PG00900	1
ENSG00002007	PG00901	1
ENSG00002009	PG00902	1
ENSG00002010	PG00903	1
ENSG00002013	PG00904	1
ENSG00002014	PG00905	1
ENSG00002015	PG00906	1
ENSG00002016	PG00907	1
ENSG00002021	PG00908	1
ENSG00002023	PG00909	1
ENSG00002026	PG00910	1
ENSG00002034	PG00911	1
ENSG00002036	PG00912	1
ENSG00002043	PG00914	1
ENSG00002045	PG00915	1
ENSG00002050	PG00916	1
ENSG00002051	PG00917	1
ENSG00002053	PG00918	1
ENSG00002055	PG00919	1
ENSG00002061	PG00921	1
ENSG00002062	PG00922	1
ENSG00002063	PG00923	1
ENSG00002069	PG00924	1
ENSG00002072	PG00925	1
ENSG00002073	PG00926	1
ENSG00002075	PG00927	1
ENSG00002079	PG00929	1
ENSG00002080	PG00930	1
ENSG00002082	PG00931	1
ENSG00002084	PG00932	1
ENSG00002088	PG00934	1
ENSG00002090	PG00935	1
ENSG00002092	PG00936	1
ENSG00002093	PG00937	1
ENSG00002096	PG00938	1
ENSG00002097	PG00939	1
ENSG00002101	PG00941	1
ENSG00002102	PG00942	1
ENSG00002104	PG00943	1
ENSG00002110	PG00947	1
ENSG00002112	PG00948	1
ENSG00002114	PG00949	1
ENSG00002120	PG00951	1
ENSG00002122	PG00952	1
ENSG00002130	PG00953	1
ENSG00002131	PG00954	1
ENSG00002133	PG00955	1
ENSG00002134	PG00956	1
ENSG00002138	PG00957	1
ENSG00002145	PG00959	1
ENSG00002147	PG00960	1
ENSG00002151	PG00961	1
ENSG00002154	PG00962	1
ENSG00002156	PG00963	1
ENSG00002157	PG00964	1
ENSG00002159	PG00965b	1
ENSG00002161	PG00966	1
ENSG00002162	PG00967	1
ENSG00002163	PG00968	1
ENSG00002166	PG00969	1
ENSG00002168	PG00971	1
ENSG00002169	PG00972	1
ENSG00002170	PG00973	1
ENSG00002171	PG00974	1
ENSG00002173	PG00975	1
ENSG00002176	PG00976	1
ENSG00002177	PG00977;PG00977b	2
ENSG00002181	PG00978	1
ENSG00002183	PG00979	1
ENSG00002186	PG00980	1
ENSG00002187	PG00981	1
ENSG00002196	PG00985	1
ENSG00002197	PG00986	1
ENSG00002199	PG00987	1
ENSG00002204	PG00988	1
ENSG00002207	PG00990;PG00990b	2
ENSG00002209	PG00992	1
ENSG00002210	PG00993	1
ENSG00002215	PG00995	1
ENSG00002218	PG00997	1
ENSG00002224	PG01000	1
ENSG00002225	PG01001	1
ENSG00002228	PG01002;PG01002b	2
ENSG00002230	PG01003	1
ENSG00002233	PG01004	1
ENSG00002234	PG01005	1
ENSG00002235	PG01006;PG01006b	2
ENSG00002238	PG01007	1
ENSG00002239	PG01008	1
ENSG00002240	PG01009	1
ENSG00002242	PG01010	1
ENSG00002243	PG01011b	1
ENSG00002244	PG01012	1
ENSG00002248	PG01013	1
ENSG00002251	PG01015	1
ENSG00002254	PG01016	1
ENSG00002255	PG01017	1
ENSG00002259	PG01019	1
ENSG00002260	PG01020	1
ENSG00002262	PG01021	1
ENSG00002263	PG01022	1
ENSG00002264	PG01023	1
ENSG00002265	PG01024	1
ENSG00002270	PG01026	1
ENSG00002272	PG01027	1
ENSG00002274	PG01028	1
ENSG00002278	PG01029	1
ENSG00002279	PG01030	1
ENSG00002281	PG01031	1
ENSG00002282	PG01032	1
ENSG00002286	PG01033	1
ENSG00002287	PG01034	1
ENSG00002289	PG01035	1
ENSG00002290	PG01036	1
ENSG00002293	PG01037	1
ENSG00002294	PG01038	1
ENSG00002297	PG01039	1
ENSG00002303	PG01040	1
ENSG00002304	PG01041	1
ENSG00002305	PG01042	1
ENSG00002306	PG01043	1
ENSG00002307	PG01044	1
ENSG00002313	PG01046;PG01046b	2
ENSG00002317	PG01047	1
ENSG00002324	PG01049	1
ENSG00002325	PG01050	1
ENSG00002327	PG01052	1
ENSG00002330	PG01053	1
ENSG00002333	PG01054	1
ENSG00002334	PG01055	1
ENSG00002335	PG01056	1
ENSG00002341	PG01058	1
ENSG00002345	PG01060	1
ENSG00002346	PG01061	1
ENSG00002347	PG01062	1
ENSG00002350	PG01064	1
ENSG00002353	PG01066b	1
ENSG00002355	PG01067	1
ENSG00002356	PG01068;PG01068b	2
ENSG00002358	PG01069	1
ENSG00002363	PG01070	1
ENSG00002365	PG01071	1
ENSG00002366	PG01072	1
ENSG00002367	PG01073	1
ENSG00002368	PG01074	1
ENSG00002369	PG01075	1
ENSG00002370	PG01076	1
ENSG00002371	PG01077	1
ENSG00002373	PG01078	1
ENSG00002374	PG01079	1
ENSG00002385	PG01081	1
ENSG00002395	PG01082	1
ENSG00002397	PG01084	1
ENSG00002398	PG01085	1
ENSG00002399	PG01086	1
ENSG00002401	PG01087	1
ENSG00002402	PG01088	1
ENSG00002404	PG01089	1
ENSG00002405	PG01090	1
ENSG00002406	PG01091	1
ENSG00002407	PG01092	1
ENSG00002410	PG01093	1
ENSG00002411	PG01094;PG01094b	2
ENSG00002412	PG01095	1
ENSG00002419	PG01096	1
ENSG00002421	PG01097	1
ENSG00002422	PG01098	1
ENSG00002424	PG01099	1
ENSG00002428	PG01100	1
ENSG00002430	PG01101	1
ENSG00002434	PG01103	1
