gene_id	rna_Ctrl_t0_r1	rna_Ctrl_t0_r2	rna_Ctrl_t0_r3	rna_Ctrl_t6_r1	rna_Ctrl_t6_r2	rna_Ctrl_t6_r3	rna_Ctrl_t24_r1	rna_Ctrl_t24_r2	rna_Ctrl_t24_r3	rna_Ctrl_t48_r1	rna_Ctrl_t48_r2	rna_Ctrl_t48_r3	rna_Trt_t0_r1	rna_Trt_t0_r2	rna_Trt_t0_r3	rna_Trt_t6_r1	rna_Trt_t6_r2	rna_Trt_t6_r3	rna_Trt_t24_r1	rna_Trt_t24_r2	rna_Trt_t24_r3	rna_Trt_t48_r1	rna_Trt_t48_r2	rna_Trt_t48_r3
ENSG00000025	3565	6528	6465	6345	8474	6702	7790	3858	5005	7251	7917	7428	5111	3692	6630	7699	5828	10754	6938	6235	7093	5286	5568	4768
ENSG00000026	5516	6104	6073	8436	6390	7093	6025	4748	5182	6520	10157	9222	8598	2751	6685	6792	5820	9644	7201	5394	7146	7605	6244	4420
ENSG00000027	275	412	336	672	426	304	316	312	338	302	615	393	374	221	413	284	216	375	92	59	128	94	105	65
ENSG00000028	41	61	61	49	69	66	39	25	48	74	70	74	106	28	96	82	41	96	27	58	67	56	58	60
ENSG00000029	2276	3221	3146	5585	4605	3854	3758	2399	2524	4438	4437	4164	4701	2690	3074	4281	3589	5683	3671	2923	4415	2733	3832	2640
ENSG00000030	400	540	440	975	897	803	648	650	502	521	909	845	742	371	782	783	675	981	535	546	678	696	624	539
ENSG00000031	1112	1583	1142	2077	2395	1960	1968	1812	1595	1653	2416	2463	1714	819	1383	383	377	544	224	199	316	545	448	462
ENSG00000032	63	114	88	156	195	94	95	82	72	157	189	117	114	80	130	147	144	138	97	92	122	115	113	185
ENSG00000033	120	207	198	235	297	275	185	150	142	286	345	237	373	107	177	217	166	339	186	194	257	229	180	137
ENSG00000034	20896	28167	36048	58953	36059	30145	41703	27334	24613	37664	53953	49168	39360	20663	29441	92367	74206	92687	96246	72153	93502	50742	46620	51294
ENSG00000035	204	189	317	397	256	295	319	163	210	291	270	474	381	166	318	440	229	381	270	305	371	219	266	258
ENSG00000036	1694	2801	2328	4166	3004	3182	3228	1652	1645	2305	3654	3508	2943	1306	2767	2944	2315	2578	2594	2184	3027	3247	2469	1848
ENSG00000037	172	300	301	434	438	370	390	255	239	294	466	409	278	172	476	316	282	596	253	253	216	226	298	216
ENSG00000038	3892	5618	5969	6432	4244	4153	4769	3101	2764	3737	5521	4848	7416	2982	5032	5912	4385	8458	3542	3025	4720	3271	3898	3654
ENSG00000039	1137	1758	2296	2057	2118	2500	2212	1436	1518	2262	2642	2051	1800	1418	2254	2280	2462	3407	2339	1602	2189	2084	1804	1623
ENSG00000040	1826	3522	2332	10620	6169	7342	9642	5047	3660	6358	8487	6376	3758	2692	3326	41054	30214	46034	46461	35390	47773	26587	26143	18544
ENSG00000041	1554	3410	2681	3545	3287	2944	3184	2053	2154	2037	3911	3580	3304	2002	2268	3543	3208	5058	2751	2844	2976	1828	2588	1872
ENSG00000042	588	961	852	1776	1282	848	1186	834	885	1085	1462	1488	1169	691	973	1011	958	1296	1076	843	1028	893	1188	846
ENSG00000043	407	863	883	1255	905	1081	735	752	610	1112	1533	1020	977	552	754	747	1005	1545	917	1028	991	695	1101	935
ENSG00000044	1511	2374	2084	3076	2851	2064	2164	1646	1189	2328	2336	3072	2835	1465	2463	8317	6734	13404	10566	7013	9901	9242	10577	9518
ENSG00000045	12177	17765	19706	28274	15059	21182	23320	15460	16250	23761	23536	29870	20130	12907	23545	19889	17204	29543	19735	16407	18937	15859	22624	13057
ENSG00000046	365	438	419	720	538	472	652	376	438	482	390	540	519	272	513	828	378	783	532	294	676	436	307	340
ENSG00000047	1088	1575	1521	2686	1841	1875	1788	1204	1255	1790	1891	1957	2494	1070	2082	1979	1241	2148	1853	1312	1495	1619	1366	1877
ENSG00000048	495	942	825	1112	1042	1078	867	655	603	785	1386	888	1212	420	733	999	846	1529	700	873	998	812	735	641
ENSG00000049	1508	2637	2045	3025	2368	2862	3064	1701	1810	2119	3391	2603	2193	1324	1675	3103	2093	3391	2155	1816	2089	2050	2115	2474
ENSG00000050	1514	2592	2373	2388	3184	2396	1979	1712	1228	2820	2399	2232	2634	1118	2101	3279	1756	3700	2008	1789	2423	2287	2094	1839
ENSG00000051	661	1254	791	1555	1204	1154	1519	584	599	1414	1448	1587	1641	698	1350	1111	1358	1408	1130	937	1169	1259	736	621
ENSG00000052	2963	4329	4741	6630	5112	5118	4350	3310	3886	5636	4951	5861	6334	2812	5599	4679	4503	7962	4900	3910	4202	4333	3716	4793
ENSG00000053	1504	2615	2808	4599	3350	3444	3935	2980	2749	3659	4317	4517	4351	2207	4582	3838	4369	5205	3015	3009	3926	2781	2424	2134
ENSG00000054	2960	4045	4507	5847	3794	4050	4885	3136	3379	4835	6377	3353	3830	2284	4086	4023	3432	6252	4263	3441	5862	4045	4798	3813
ENSG00000055	761	956	736	1781	1559	1338	1103	810	707	1869	1321	1590	968	582	935	1358	983	2001	1769	1165	1642	1206	847	1569
ENSG00000056	264	550	308	657	541	552	474	302	378	402	607	704	658	374	304	629	695	505	485	471	578	513	383	354
ENSG00000057	1726	2421	2234	5159	3689	3524	4819	2937	2208	3618	3642	4275	3640	1458	2942	3997	3237	6390	3627	2358	3865	3712	3976	2662
ENSG00000058	718	1377	1430	2417	2164	1840	2195	1029	1123	1535	1707	1606	1947	1001	1820	1737	1467	1736	1817	1220	1855	1398	1208	1086
ENSG00000059	3232	4160	4246	6360	4260	4232	5750	3001	2397	5253	5269	5089	5248	2080	5494	5771	4476	5573	4685	3682	3885	4528	3631	3318
ENSG00000060	236	531	580	744	603	607	647	491	493	659	520	848	708	285	773	498	574	928	568	452	771	511	623	485
ENSG00000061	6578	11886	12311	3944	2339	2923	3293	2274	1774	3419	4954	5183	14074	5267	11228	2393	2353	4246	2453	1589	2596	4325	3520	3558
ENSG00000062	39	74	62	201	62	70	141	39	39	90	89	127	58	66	109	115	76	107	54	72	76	72	39	86
ENSG00000063	26	51	65	131	45	60	54	50	35	54	41	20	148	44	67	24	14	43	34	30	15	13	45	17
ENSG00000064	1050	1461	1494	2154	2056	1475	2081	1229	1295	1889	1905	1385	1468	852	2039	10953	11743	14436	5509	6532	10105	2172	2015	1805
ENSG00000065	14616	24416	18439	32915	25447	27489	21796	19674	15681	32791	31686	27604	29411	11708	25511	28241	21842	49666	24316	17899	22776	25945	23112	21703
ENSG00000066	1201	2297	1299	2083	1794	1586	2244	1551	1092	2257	1588	1854	2421	1248	1741	1898	1559	2237	1715	1267	2073	2036	1411	1791
ENSG00000067	8386	12864	10242	16448	13286	12480	14822	10134	7676	15376	16805	12316	11908	6288	11030	11224	10970	21832	11680	8331	11584	9414	9981	8290
ENSG00000068	2021	2904	2066	5509	2953	2806	3849	2659	2446	2997	4243	4002	2984	1870	3978	2972	3605	4358	3027	2237	4599	3642	3063	2801
ENSG00000069	51	119	103	112	100	163	128	66	87	87	122	158	119	54	93	360	511	309	465	409	612	177	216	156
ENSG00000070	260	427	431	688	486	573	608	337	323	548	714	601	546	346	411	156	157	259	109	68	71	95	90	68
ENSG00000071	738	1188	1075	1408	1704	1068	1214	814	719	1393	1275	1832	1477	907	1636	478	524	723	318	233	339	309	290	232
ENSG00000072	251	404	399	825	566	373	683	305	402	545	584	446	575	222	483	94	101	117	159	93	136	309	323	224
ENSG00000073	4824	7160	6742	5873	7325	7214	7320	5402	4624	8119	7747	7861	6610	3088	7629	41196	39850	47867	32144	26016	35876	33993	34487	27540
ENSG00000074	695	820	554	1353	735	726	774	527	555	845	1088	1010	1252	489	818	992	770	1263	731	782	755	662	772	632
ENSG00000075	156	297	149	202	116	233	179	183	103	145	240	198	305	105	327	204	156	311	171	105	157	132	139	180
ENSG00000076	1239	1847	1670	1959	1909	2161	2549	1478	1006	2077	2120	1965	2684	1078	2219	3262	2483	3375	1997	1323	1952	1841	1528	1614
ENSG00000077	172	310	169	369	228	170	231	172	166	205	207	281	188	179	257	74	56	88	52	37	63	136	129	72
ENSG00000078	4619	6190	4073	8587	8225	6629	4856	6429	5985	6945	10723	9277	8907	4271	6785	8377	6512	12982	7514	7673	7604	5950	6661	6516
ENSG00000079	725	1233	785	1617	1162	1192	1074	733	806	1258	1030	968	1167	505	1288	1266	1102	1542	966	701	1057	1065	801	662
ENSG00000080	104	169	207	353	318	235	273	184	189	192	250	183	178	113	269	328	260	320	247	251	211	153	169	116
ENSG00000081	2103	4038	3869	4844	4188	3448	4504	3185	2964	4048	5140	4265	4963	2471	4316	5016	3885	6054	4478	3986	5587	2916	3198	3206
ENSG00000082	995	1513	1274	2016	1836	1790	1639	992	1543	1584	2567	2026	1713	890	1610	2187	1693	2405	1613	1213	1724	1297	1564	1146
ENSG00000083	2545	4175	5039	5701	5203	5290	5751	3830	4381	6596	5369	5218	4165	2536	5510	6873	3801	7762	4632	4651	4181	4174	5938	3526
ENSG00000084	91	212	128	246	168	156	227	90	154	182	178	315	191	103	206	69	111	109	42	33	45	43	56	52
ENSG00000085	926	1311	1241	5678	4041	3678	4191	3103	2649	3749	4681	3075	1493	1064	1558	4233	3871	5904	4750	3207	3367	3112	2481	3080
ENSG00000086	33	62	31	65	30	56	95	43	31	42	67	109	36	20	55	47	66	72	61	46	37	25	30	41
ENSG00000087	3940	6650	7645	7177	7274	6167	7775	5516	4269	6416	8862	7353	7027	3370	7237	5634	6991	8575	6446	4440	6735	5860	5166	5207
ENSG00000088	654	920	855	1390	1167	676	1090	915	730	882	1446	1540	1074	443	1378	1055	854	1374	727	865	856	953	922	609
ENSG00000089	283	391	291	724	409	330	450	347	370	463	404	397	610	276	443	379	494	523	403	365	438	334	319	396
ENSG00000090	4905	6703	5931	11564	7345	8140	7229	4236	4649	8435	11129	6118	9487	3827	9959	10112	8512	14051	7756	6794	7980	7566	6027	6011
ENSG00000091	1017	1826	1850	2521	2811	2471	2044	1560	1470	2539	3167	2477	2339	1372	1535	10367	10515	15239	4643	3494	4380	3010	2101	1573
ENSG00000092	4809	9343	7657	8802	8988	5962	8373	6375	5821	10133	9016	10463	8348	5854	7931	34733	32586	43726	19929	19021	17060	13803	7815	9050
ENSG00000093	1410	2364	2726	3518	2603	2433	2887	2103	1686	2664	3253	2481	2794	1457	2744	2784	2205	4301	2104	1782	1953	2412	1859	1883
ENSG00000094	6601	10074	12389	14000	13456	11198	15316	7357	8805	12395	13558	11209	16737	7818	14826	14901	10896	16320	10828	7174	11110	11936	9997	8018
ENSG00000095	642	961	1037	1237	713	1185	1093	820	595	1241	1189	1126	1292	630	927	4355	4967	5088	3636	3250	5247	4204	4367	4595
ENSG00000096	17738	30965	17657	32794	25410	17357	24991	20751	19704	27206	35639	35693	31119	14759	20348	24314	21026	33758	31895	23190	28737	18719	20764	23024
ENSG00000097	49	88	47	116	121	114	125	58	53	124	121	80	116	45	137	117	134	96	84	60	75	142	97	87
ENSG00000098	4836	7774	8195	5219	2149	2711	2939	2112	2709	3466	3826	3149	7086	5514	7404	17019	14284	18975	12448	11261	12923	13838	13189	13618
ENSG00000099	304	410	361	548	486	352	681	370	262	568	378	773	456	258	491	459	461	657	463	431	439	397	465	378
ENSG00000100	116	134	151	170	142	109	87	69	97	63	141	112	197	107	192	320	266	350	521	327	370	419	480	437
ENSG00000101	1282	2250	1759	2921	2338	2610	2047	1447	1564	2748	2964	2141	2665	1342	2286	2406	2374	3443	2127	1798	2097	1728	1973	1550
ENSG00000102	3353	4252	3283	7241	4464	4046	4011	3465	4233	5156	5577	5790	5663	2678	4293	23799	22176	33629	35165	17907	31778	23353	27046	20815
ENSG00000103	4571	5286	5096	5143	5810	4393	7276	3280	2805	4998	8258	5492	6756	2477	6144	19476	18376	32128	22376	17107	13990	15143	23108	19238
ENSG00000104	3009	4264	4857	7282	5256	5207	5143	3975	4566	5192	6722	6716	6752	2601	5397	6012	5290	8300	5218	4124	4838	4097	4198	4676
ENSG00000105	39	52	72	126	106	94	83	54	56	95	127	108	50	39	141	106	73	91	108	49	103	64	69	78
ENSG00000106	10554	21220	17727	25424	22614	15635	20504	15828	12509	18179	22108	18697	17973	9584	16196	67408	47202	92693	30499	32388	45213	17150	20437	21757
ENSG00000107	757	1732	1138	1831	1524	970	1187	815	671	1395	1408	1242	1427	664	1445	1668	1707	1639	1154	942	1392	1081	935	776
ENSG00000108	80	125	117	136	76	95	166	141	97	109	111	167	182	74	130	140	134	185	100	76	122	135	139	100
ENSG00000109	69	192	183	145	197	204	264	123	96	168	197	176	151	108	192	36	24	43	30	24	74	53	57	75
ENSG00000110	1764	2668	3691	4905	3103	3827	4458	2481	2139	4270	5681	3682	3382	2192	3333	3837	4117	5048	4950	3574	4048	3052	3657	3070
ENSG00000111	49	85	60	159	85	95	100	60	55	48	99	122	94	53	101	108	124	97	77	65	88	90	65	55
ENSG00000112	822	1152	1447	1577	1552	1505	1753	921	844	1625	1426	1949	1244	911	1747	1765	1413	2265	1402	1176	1978	1255	1264	1123
ENSG00000113	879	1041	914	1602	1054	1192	1337	787	858	1216	1191	1291	1448	600	1319	966	1218	1819	1397	892	1099	1173	924	765
ENSG00000114	268	450	440	699	639	434	574	399	373	412	564	525	637	380	508	1239	1330	1245	1750	1062	1619	1345	975	902
ENSG00000115	28	99	119	161	101	87	139	57	56	86	77	110	113	46	150	181	117	198	72	104	121	85	57	80
ENSG00000116	476	844	653	1169	704	950	1052	743	564	948	1007	988	616	413	773	900	719	996	896	625	1065	833	693	713
ENSG00000117	231	279	269	611	320	325	404	249	265	434	315	328	440	186	344	384	476	367	347	294	343	299	244	248
ENSG00000118	5002	9401	8230	12198	11243	9969	11373	8966	6712	14386	12343	14174	11626	6439	10409	12800	11158	17638	10894	6757	10913	7514	10749	8274
ENSG00000119	651	1240	729	1367	1398	1198	1028	733	720	1047	1189	1060	1234	647	1102	1472	1144	1700	1225	812	1139	833	1084	839
ENSG00000120	100	209	216	284	286	202	149	185	157	231	239	222	276	162	240	233	222	433	174	147	215	158	226	191
ENSG00000121	5469	5906	8997	5439	5567	5295	5422	3884	4898	8224	7737	7194	10842	4117	11907	1838	1547	1880	2116	2337	3188	5574	4463	3182
ENSG00000122	316	681	656	632	649	491	606	568	470	812	740	560	642	274	451	483	595	1071	513	484	464	556	597	426
ENSG00000123	1132	1243	1531	2452	2109	1922	1606	1425	1278	1781	2573	2092	1799	964	1733	1927	1590	2364	1686	1434	1697	1378	1514	1468
ENSG00000124	412	702	837	849	860	708	767	573	472	603	906	990	801	445	832	116	141	193	323	236	274	520	509	392
ENSG00000125	252	454	305	418	483	379	468	309	303	497	456	486	465	180	475	358	401	683	402	357	604	380	364	332
ENSG00000126	542	701	428	1190	590	587	807	620	492	760	726	753	644	381	602	2392	1655	3061	2666	1891	2390	1735	1949	1404
ENSG00000127	159	260	252	299	301	319	366	198	199	257	297	233	336	209	326	1232	1121	1351	539	408	672	280	270	277
ENSG00000128	348	718	597	1001	690	497	442	424	544	637	565	692	497	375	664	688	665	906	600	459	601	577	412	490
ENSG00000129	1079	2301	1789	1948	2131	2099	2203	1887	1417	2095	2695	2487	2135	862	2483	2127	2032	2808	2378	2116	1865	1641	1841	1233
ENSG00000130	131	181	152	156	170	172	327	129	165	184	275	191	271	120	170	217	180	319	224	186	131	183	155	116
ENSG00000131	472	1112	732	746	907	942	847	554	663	863	1175	920	741	441	955	2676	1857	3579	2610	1875	3550	1780	1401	1179
ENSG00000132	641	744	831	1288	1098	959	1232	497	644	1045	1442	1117	903	465	825	836	856	1541	835	598	872	971	781	724
ENSG00000133	19220	25248	30571	41514	33068	37328	33839	26888	23785	30953	31664	34727	30536	16099	31926	12606	10395	14378	9657	6233	8852	16011	17586	17191
ENSG00000134	649	861	948	1873	1708	1324	1427	1112	715	1134	1340	1089	1198	434	1147	1799	1455	1912	1124	854	1411	1137	895	1125
ENSG00000135	1483	2683	2002	4406	2990	2400	2728	2246	2214	2677	2626	3068	3202	1396	2972	3546	3515	4791	2599	2090	2783	2334	2583	1873
ENSG00000136	1999	2092	2786	5121	2867	3012	3598	2089	2545	3359	4189	3933	3487	2019	3128	1583	1406	1994	1123	1294	1195	1947	1455	1568
ENSG00000137	281	311	396	544	448	499	392	270	337	407	606	514	576	142	345	398	439	575	388	420	474	441	371	282
ENSG00000138	3138	4046	3060	8867	5424	5064	5438	3817	2234	6188	5994	5059	4630	2924	5779	5551	5003	7506	4862	3328	5681	4329	2963	4788
ENSG00000139	185	308	265	479	380	307	483	202	196	332	485	352	432	234	392	1449	1120	2018	1082	695	962	429	556	370
ENSG00000140	1683	2173	2574	3283	2836	2804	2632	2152	1698	3512	3890	3146	3104	1569	3268	8693	6545	11822	9676	8329	10933	5066	4730	3913
ENSG00000141	5425	7421	6580	12135	10558	10657	8507	5521	4885	8699	10724	11147	11685	4151	11862	7839	7307	13844	8327	6101	9752	7641	7485	5582
ENSG00000142	444	652	486	829	717	559	813	425	327	620	687	620	701	366	737	718	620	1164	678	447	602	542	576	363
ENSG00000143	1486	1377	1616	2002	1916	1639	2044	1187	1102	1759	2657	2142	1681	717	1911	1839	1812	2211	1811	1519	1365	1536	1491	1356
ENSG00000144	334	589	484	1195	1297	846	1319	653	723	882	888	888	652	379	679	1258	860	1382	1018	1089	883	580	968	602
ENSG00000145	85	88	93	158	130	98	106	123	117	154	165	152	157	87	123	45	38	54	34	24	28	18	31	30
ENSG00000146	118	182	84	229	128	199	203	132	126	158	176	161	159	92	142	668	633	1014	711	531	710	556	452	322
ENSG00000147	1547	2472	2529	3800	2521	2528	2259	2712	2218	2818	4582	3440	3885	1801	2733	6520	5484	8868	7386	5754	8168	7846	8059	5878
ENSG00000148	1589	1741	1493	2502	2278	1799	2337	1751	1374	2476	2572	1803	2840	1609	2602	5410	4021	7062	5254	4485	5779	4759	4944	3869
ENSG00000149	1916	3223	3947	3782	3395	3093	3428	2754	2190	3719	4551	3531	4299	1749	2472	4026	2762	5870	2971	2863	3968	2043	4776	2683
ENSG00000150	946	1584	1315	1939	1832	1788	2010	1091	938	1176	1635	1541	1664	718	1196	703	467	1050	467	461	437	634	584	610
ENSG00000151	7250	10617	12302	17689	14476	15550	15161	8258	10388	14380	18573	16764	14732	7817	13729	3641	3365	3958	3341	2048	3157	4641	3373	4498
ENSG00000152	18	10	23	25	23	32	7	18	30	28	22	24	25	7	28	107	112	109	85	78	103	56	55	22
ENSG00000153	6962	10386	12754	17898	16786	16532	25737	14478	17680	27575	31062	21107	17996	7716	14455	24588	17150	22362	22554	20884	20296	17322	18252	13387
ENSG00000154	1404	2099	2190	4395	2265	2463	3230	1594	1938	3404	3215	2934	3755	1283	3118	7035	6348	8088	6053	6055	7599	9332	8984	6860
ENSG00000155	2444	3263	4101	4972	4062	5525	5376	3694	3860	4647	5371	4997	5204	2091	5563	4242	4566	5914	3272	3594	4092	4210	3092	3710
ENSG00000156	520	921	711	1008	876	639	855	756	574	1061	1017	1078	918	442	795	3037	3225	5000	3968	2536	3607	2950	3800	2951
ENSG00000157	1192	1771	1478	2472	2155	1585	2215	1198	1565	1847	2451	2300	2560	849	1986	5923	4974	7557	9377	6976	8746	10835	12100	10372
ENSG00000158	223	235	301	326	318	238	269	234	186	317	381	342	350	143	334	334	245	441	343	188	244	233	254	204
ENSG00000159	134	203	259	333	193	197	291	220	133	244	386	431	293	120	170	369	250	310	245	223	234	337	229	208
ENSG00000160	121	243	171	180	194	195	136	62	73	121	79	94	214	186	389	104	92	238	129	113	132	120	102	58
ENSG00000161	344	428	389	757	478	392	553	407	327	571	721	622	624	223	400	470	443	530	429	316	480	524	369	488
ENSG00000162	1651	2412	2449	3372	3262	2146	2656	2143	2026	2837	3141	2695	2852	1414	2261	3126	2597	3178	2951	2303	2658	2054	2345	2489
ENSG00000163	908	2087	1880	2405	1805	1805	1704	1060	1357	2200	2223	2058	2354	1087	2018	6533	6787	9357	9474	4819	6464	6888	6087	4751
ENSG00000164	3652	7143	5638	6980	8821	5999	6846	3379	6246	8009	11085	7181	8302	3477	6751	6102	6672	11203	6454	5752	7837	4915	6564	4880
ENSG00000165	2590	4897	3329	5392	5625	3673	4791	2994	2934	4366	4618	4334	3775	2074	4058	10688	10738	15295	15668	18008	17905	21205	21213	10545
ENSG00000166	2647	3431	3822	8411	7689	6149	9843	7209	5548	6495	12000	8496	4717	3890	6548	8784	6872	8954	7961	6716	8939	6818	7533	6074
ENSG00000167	9933	16904	13964	24724	22143	18761	13459	13614	9841	20945	24363	19334	20214	7322	20549	18674	16506	26714	15970	13834	20311	16853	16870	14772
ENSG00000168	1253	2070	1817	2632	2294	2519	2792	1225	1150	2220	2739	2247	1937	1538	2869	2156	2299	3180	1918	1704	2680	2109	1456	1652
ENSG00000169	1777	2812	2696	2598	3926	2780	2403	1679	1473	2500	3634	3834	4268	1574	2375	2606	2166	3233	2998	1819	3021	3599	1704	2322
ENSG00000170	343	689	388	943	669	575	537	410	499	580	663	671	725	417	607	492	618	744	529	407	771	528	535	408
ENSG00000171	1833	2365	2076	3642	3081	2416	2893	1664	2420	2865	3303	3380	3576	1267	2906	2190	3116	4194	2443	2169	2595	2446	2282	2044
ENSG00000172	502	717	683	1016	797	800	737	414	582	816	983	792	829	509	635	904	586	1152	754	589	648	707	565	540
ENSG00000173	1475	1874	2111	3387	2324	2309	2524	1478	1964	2092	3258	2933	3417	1519	2070	9569	3519	10500	10044	9514	11904	10071	7998	8549
ENSG00000174	741	799	688	440	434	417	551	277	355	897	807	821	917	418	600	466	522	510	455	465	563	593	662	576
ENSG00000175	433	1033	609	817	1162	826	882	699	567	1011	1060	1105	1028	441	762	921	1059	1181	941	847	765	888	705	993
ENSG00000176	14122	19200	18061	24489	24225	17633	19316	15859	14107	16558	18148	23225	21229	10409	22127	25652	17628	29248	18773	13844	20377	16901	17557	14712
ENSG00000177	220	349	193	332	257	186	277	223	284	264	346	389	329	140	220	950	924	1475	2259	1796	2433	1250	1012	1236
ENSG00000178	1403	1768	1953	8081	7139	5458	9466	5903	5330	7287	8803	11404	2748	1473	2046	8510	6543	9781	7041	5521	9156	6058	6428	5438
ENSG00000179	1969	2925	3200	5227	4013	3093	4050	2269	2409	2622	3871	4429	3668	2034	3400	11165	9927	15577	20352	19334	18784	12843	8599	6681
ENSG00000180	200	278	208	227	326	246	341	226	134	210	287	506	334	137	307	278	261	388	231	173	327	298	248	263
ENSG00000181	29	82	37	72	19	24	24	45	33	32	28	22	67	20	36	47	53	64	63	45	31	30	83	52
ENSG00000182	15887	23241	24986	32395	30270	28852	33406	22589	22088	28554	34322	34642	30221	15180	29814	100656	84360	105353	100223	74066	120223	88863	108173	68738
ENSG00000183	106	190	170	190	183	217	182	153	171	162	315	192	189	92	172	215	207	329	213	145	230	200	198	233
ENSG00000184	25	70	20	109	44	68	55	41	20	27	45	75	45	22	45	68	28	72	54	26	65	30	64	67
ENSG00000185	65	90	117	150	116	83	118	73	89	94	98	107	139	76	164	125	97	137	125	80	159	107	91	96
ENSG00000186	3045	4210	4874	6058	6409	5877	6485	3375	3878	5518	6495	6354	6279	3105	6537	18225	15083	35735	23596	26220	29672	30376	29147	18715
ENSG00000187	12465	15094	17459	23173	23497	18567	27911	15218	16133	25183	21259	26080	19982	11149	17339	26242	20729	32238	17742	19019	18910	18125	14766	14970
ENSG00000188	135	143	132	211	224	144	240	140	136	171	214	195	178	84	135	207	137	205	155	138	232	200	122	98
ENSG00000189	591	1080	671	1415	925	877	1112	773	673	855	818	1032	1033	468	1025	1075	996	1310	958	701	766	716	952	678
ENSG00000190	475	780	693	914	947	1117	1108	635	904	895	1073	1175	888	639	1397	1274	905	1255	670	651	851	759	830	537
ENSG00000191	540	916	822	1096	1100	839	1017	830	691	1057	1127	1429	1070	613	977	1056	795	1153	731	767	1163	805	644	854
