gene_id	archetype	log2_base	t_half_h	kd	ks	A_time	A_trt	delta_log_ks	delta_log_kd	shape	has_protein	true_lfc_rna_t0	true_lfc_rna_t6	true_lfc_rna_t24	true_lfc_rna_t48	true_lfc_prot_t0	true_lfc_prot_t6	true_lfc_prot_t24	true_lfc_prot_t48
ENSG00000011	unchanged	8.07945875357896	5.19505988414897	0.133424290771865	0.133424290771865	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000012	unchanged	7.27866391187217	30.2337848862253	0.0229262456939603	0.0229262456939603	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000013	unchanged	9.515734544012	3.17522139300816	0.218298850620702	0.218298850620702	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000014	unchanged	3.87442853237549	10.7469201166892	0.0644972860162549	0.0644972860162549	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000015	mrna_only	6.20926909731581	5.224035532163	0.132684239280614	0.132684239280614	0	-1.93664074227197	0.908001989577754	0	mono	TRUE	0	-1.37991444020768	-1.92341500880494	-1.93655042091194	0	0.261240224216372	-0.453026676860577	-0.618246286264886
ENSG00000016	unchanged	5.03502985711559	28.3346173166548	0.024462909550309	0.024462909550309	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000017	lag_only	9.43578608302884	91.700694581577	0.00755879967673877	0.00755879967673877	0	2.79364477532672	0	0	mono	FALSE	0	1.47171932054385	2.65358471367382	2.78662283000158	0	0.0537338301741588	0.621398629299094	1.26320754461847
ENSG00000018	mrna_only	6.34383753100974	7.23940509166706	0.0957464283022088	0.0957464283022088	0	-2.39085472911786	0.95168291503636	0	impulse	TRUE	0	-1.80356803757292	-2.23095924722331	-1.45742560329061	0	0.148770548171298	-0.665102250187676	-0.342808718945479
ENSG00000019	unchanged	5.82091779386021	22.9946458677145	0.0301438510750519	0.0301438510750519	-0.0473057129783846	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000020	unchanged	8.66644009930495	86.5975397527378	0.00800423640832165	0.00800423640832165	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000021	unchanged	4.6264582326347	6.1350618393627	0.112981286694243	0.112981286694243	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000022	buffered	6.42018412089076	9.29558138371931	0.0745673833563497	0.0745673833563497	0	2.18211294340863	0	0.893825368660241	mono	FALSE	0	2.13853370464644	2.18211259628284	2.18211294340858	0	0.392920079879656	0.875992045404348	0.892387618974249
ENSG00000023	lag_only	6.55733826623207	130.486434250146	0.00531202484413945	0.00531202484413945	0	1.92527697490541	0	0	mono	FALSE	0	1.50103213666729	1.9207376986208	1.92526627253404	0	0.0442930064336527	0.337287969258376	0.647591444808548
ENSG00000024	unchanged	12.5016875805611	6.08159529958931	0.113974565293214	0.113974565293214	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000025	unchanged	9.39357133647968	6.86254724329159	0.1010043582924	0.1010043582924	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000026	unchanged	9.43210080451415	36.50620746052	0.0189871046262353	0.0189871046262353	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000027	mrna_only	5.21241138859002	16.3069382148997	0.0425062737974083	0.0425062737974083	0	-1.80881767450421	0.765993250220918	0	mono	TRUE	0	-0.916313576956946	-1.70160244101455	-1.80246263582106	0	0.157995875427367	-0.0970779703307157	-0.439088166978618
ENSG00000028	unchanged	2.60145326370166	6.72901290176282	0.103008745960104	0.103008745960104	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000029	unchanged	8.53724350097717	40.0183477080885	0.0173207346194317	0.0173207346194317	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000030	unchanged	6.1237434969022	5.7247904120555	0.121078175910211	0.121078175910211	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000031	concordant	7.17332253067056	15.5036300818436	0.0447087022136638	0.0447087022136638	0.654137552936159	-3.07598428392379	0	0	impulse	TRUE	0	-2.30304110491651	-2.84123487314289	-1.73131180491572	0	-0.258838249960008	-1.3877074706381	-1.85016672250221
ENSG00000032	unchanged	3.75011603236032	10.4946274444631	0.0660478120093387	0.0660478120093387	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000033	unchanged	4.48037179564021	30.3467411060584	0.0228409099394717	0.0228409099394717	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000034	buffered	11.8221783506247	8.21105234564583	0.0844163636257304	0.0844163636257304	0	1.43496175712606	0	0.574673058095443	impulse	TRUE	0	1.04711226313901	1.37271335381309	0.966348412511069	0	-0.0669720448900631	0.53235296913618	0.248454722531272
ENSG00000035	unchanged	4.89685365640051	17.7812618444941	0.0389818892844535	0.0389818892844535	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000036	unchanged	8.08880638235527	18.1701293388174	0.0381476195152422	0.0381476195152422	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000037	unchanged	4.99780057819911	5.5363554633958	0.125199182953978	0.125199182953978	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000038	unchanged	9.23895387108839	6.5556012011861	0.105733579467057	0.105733579467057	-0.544276215201364	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000039	unchanged	7.7901355180167	40.0331509738232	0.017314329841615	0.017314329841615	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000040	mrna_only	8.53936110176733	12.0219735140689	0.0576566883755631	0.0576566883755631	1.0384434975103	2.63986318581431	-1.18230756703965	0	impulse	FALSE	0	2.26906897230303	2.49766185014219	2.05610623264918	0	7.15017927828529e-05	0.700742218825752	0.569279101079009
ENSG00000041	unchanged	8.10707791845546	31.1143819281116	0.0222773887060148	0.0222773887060148	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000042	unchanged	6.75345462201744	22.809389861112	0.0303886769782343	0.0303886769782343	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000043	unchanged	6.69773013975502	9.00894550418083	0.0769398793941281	0.0769398793941281	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000044	concordant	7.79514159648989	14.3299938249795	0.0483703753836709	0.0483703753836709	0	2.33844805631697	0	0	mono	TRUE	0	1.95601392502848	2.33677525871257	2.33844685968923	0	0.495809364001255	1.77844192352154	2.18511660713747
ENSG00000045	protein_only	10.9995098514838	11.0519875321772	0.0627169709106067	0.0627169709106067	0	0	0	1.33454302397412	impulse	FALSE	0	0	0	0	0	-1.18538446053195	-1.91212147811985	-1.92529493219833
ENSG00000046	unchanged	5.60332629753505	11.3830184127635	0.0608930913950501	0.0608930913950501	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000047	unchanged	7.55538879093639	13.1832342846894	0.0525779308469809	0.0525779308469809	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000048	unchanged	6.56185500688771	3.47780519178274	0.199305924954536	0.199305924954536	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000049	unchanged	7.91394807628617	19.9629668121839	0.0347216517004327	0.0347216517004327	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000050	unchanged	7.9463485318093	6.25552957251585	0.110805515748074	0.110805515748074	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000051	unchanged	6.89725408803159	15.6554815014708	0.0442750470814217	0.0442750470814217	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000052	unchanged	9.00272795124329	10.5020898124997	0.0660008810565448	0.0660008810565448	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000053	unchanged	8.49759614779805	3.66733711814787	0.189005580405984	0.189005580405984	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000054	unchanged	8.82351351707867	23.4402647413148	0.0295707914654322	0.0295707914654322	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000055	unchanged	6.67327782316179	5.7547588771976	0.120447649562945	0.120447649562945	0.479591366348174	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000056	unchanged	5.65367032576234	28.7977440101899	0.0240694958714363	0.0240694958714363	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000057	unchanged	8.25134277834768	25.4412184277087	0.0272450465581876	0.0272450465581876	0.295417986216316	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000058	unchanged	7.32583273143672	3.74425194994611	0.185123007165669	0.185123007165669	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000059	unchanged	8.81118125783839	9.99145381528694	0.0693740063632611	0.0693740063632611	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000060	unchanged	5.91896957191415	15.3352996175966	0.0451994547119633	0.0451994547119633	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000061	unchanged	10.2340258216336	4.98822971545748	0.138956547733162	0.138956547733162	-2.55231981658353	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000062	unchanged	3.06153064005942	9.39212265941433	0.073800908026383	0.073800908026383	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000063	concordant	2.68699626381662	19.2169020683147	0.0360696629506596	0.0360696629506596	0	-1.98689661570151	0	0	impulse	TRUE	0	-1.63043417958552	-1.83497468125588	-1.32386868939325	0	-0.142111291055731	-0.735908637590714	-1.14015454712815
ENSG00000064	concordant	7.34977620842449	10.1103004620037	0.0685585144739183	0.0685585144739183	0.108796776236912	3.05015637262134	0	0	impulse	FALSE	0	2.57087949582131	2.23479772599739	0.694194839705569	0	0.899057014977461	2.41218229674524	1.54406188612688
ENSG00000065	unchanged	11.26474064611	5.55951913340852	0.124677542054789	0.124677542054789	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000066	unchanged	7.60198600804098	10.5344781156767	0.0657979610331575	0.0657979610331575	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000067	unchanged	10.2616564139594	8.73054432365951	0.0793933522199226	0.0793933522199226	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000068	unchanged	8.39482618511069	21.7268462512853	0.0319027976975231	0.0319027976975231	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000069	mrna_only	3.37016730429515	4.45391540541718	0.15562648085253	0.15562648085253	0	2.33548774479829	-0.92305740790823	0	impulse	FALSE	0	1.82521571171732	2.1368121846472	1.36473348301558	0	-0.0194451783605433	0.86389875043069	0.235423195103121
ENSG00000070	concordant	5.61377738876618	10.2261331413294	0.0677819436712158	0.0677819436712158	0	-2.43249971078558	0	0	mono	FALSE	0	-1.4851856668602	-2.37654746649138	-2.43121269988578	0	-0.230911309653326	-1.29483863486443	-2.12091554954674
ENSG00000071	concordant	6.99892036052655	10.1194510207316	0.068496520131369	0.068496520131369	0	-1.83827216593017	0	0	mono	FALSE	0	-1.48057291405947	-1.83563678928392	-1.83826838781168	0	-0.249605028071052	-1.1511235564749	-1.67734965040652
ENSG00000072	concordant	5.66050492924732	11.9478124239297	0.0580145683549294	0.0580145683549294	0	-2.47678118990198	0	0	impulse	FALSE	0	-2.27493697387011	-1.77502974348764	-0.781510940705995	0	-0.286183613228781	-1.20160395255575	-1.1115451050335
ENSG00000073	buffered	9.42545541969096	14.1551373076581	0.04896788815923	0.04896788815923	0	2.29738324757396	0	0.981524696628373	mono	FALSE	0	2.22259896068821	2.29738066804103	2.29738324757107	0	0.250768215183811	0.82972223239276	0.879137428835321
ENSG00000074	unchanged	6.45881503102888	2.39903718596563	0.288927234898591	0.288927234898591	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000075	unchanged	4.7289407345313	10.1456387819557	0.0683197180046198	0.0683197180046198	-0.7388446886783	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000076	unchanged	7.75363464073715	6.16182193651434	0.112490621718947	0.112490621718947	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000077	concordant	4.70081437968379	26.0006238627501	0.0266588672725267	0.0266588672725267	0	-2.58712714762335	0	0	impulse	TRUE	0	-2.08106946720823	-2.16884206739529	-1.01234636138557	0	-0.121350097840901	-0.643307540301874	-0.967213340260883
ENSG00000078	unchanged	9.56372468025908	3.89419956119028	0.177994776505003	0.177994776505003	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000079	protein_only	6.68255256793711	33.1174560302772	0.0209299645457744	0.0209299645457744	0	0	0	0.72566034720478	mono	FALSE	0	0	0	0	0	-0.181020677253227	-0.58471663548552	-0.865785792834304
ENSG00000080	unchanged	4.07240070923556	2.5731411363013	0.269377831935132	0.269377831935132	0.853904606918562	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000081	unchanged	8.68485253076133	8.26036787013978	0.0839123864041924	0.0839123864041924	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000082	protein_only	7.35613055839466	7.80147936428433	0.0888481720189144	0.0888481720189144	0	0	0	1.52439042018143	impulse	TRUE	0	0	0	0	0	-1.80902828143496	-2.19894098187079	-2.19923048339787
ENSG00000083	unchanged	8.93021056572521	13.0395150847531	0.0531574353842676	0.0531574353842676	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000084	mrna_only	4.13533402068187	10.9281681549209	0.0634275727398857	0.0634275727398857	0	-1.67990133909202	0.750000438992586	0	mono	FALSE	0	-1.01145386429176	-1.63778818017984	-1.67884561152499	0	0.176785870091399	-0.197105644870831	-0.495062854918505
ENSG00000085	unchanged	7.30020981166146	14.3260204416549	0.0483837911151183	0.0483837911151183	1.56711438444203	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000086	unchanged	2.21601877987572	24.7284151253588	0.028030392447154	0.028030392447154	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000087	unchanged	9.43531544397839	8.59938672729003	0.0806042573199147	0.0806042573199147	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000088	unchanged	6.62010255377922	14.2088988685348	0.0487826106001008	0.0487826106001008	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000089	unchanged	5.47050465361162	11.1078568100674	0.0624015228510798	0.0624015228510798	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000090	unchanged	9.69274051799214	7.6639222699244	0.0904428771779262	0.0904428771779262	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000091	mrna_only	7.82089975784181	18.5105252178455	0.037446110923514	0.037446110923514	-0.0231607177186241	2.10614780060535	-0.552487964615573	0	impulse	FALSE	0	2.06601502196103	0.938471731913025	0.183799832932844	0	0.180252402533701	0.504849404529665	0.0508380539343231
ENSG00000092	concordant	9.64268240077866	6.95372346141501	0.0996800037283762	0.0996800037283762	0	2.15339406992396	0	0	impulse	FALSE	0	2.0856492883184	1.43706681464998	0.656387568751348	0	0.939759452245358	1.66085648257356	0.964991794167014
ENSG00000093	unchanged	7.88005346296596	7.63033508409377	0.090840988360378	0.090840988360378	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000094	unchanged	10.2243703375276	44.6924387180473	0.0155092718240959	0.0155092718240959	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000095	buffered	6.67187802037146	8.73527793239447	0.0793503293111526	0.0793503293111526	0	2.08355221557955	0	0.830553265732548	mono	TRUE	0	2.06501894769321	2.08355220253603	2.08355221557955	0	0.448613951971496	0.870818328101668	0.885134586227171
ENSG00000096	unchanged	11.3591540649604	7.68457415286088	0.0901998167721362	0.0901998167721362	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000097	unchanged	3.34786544943841	2.52935453453161	0.274041132271836	0.274041132271836	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000098	anticorrelated	9.52643010929078	14.2494309924881	0.0486438497737457	0.0486438497737457	-1.23683846368047	2.27330795928897	0	2.16593799723798	mono	FALSE	0	2.08309895834277	2.2731965428072	2.27330795382836	0	-1.76021336558983	-1.40416523310147	-1.04704285245204
ENSG00000099	unchanged	5.4651491137021	42.1316823953327	0.0164519226660821	0.0164519226660821	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000100	mrna_only	4.22010118901234	5.98034909632087	0.115904133587515	0.115904133587515	-0.826342018814226	2.20417326989713	-0.862758559822965	0	mono	TRUE	0	0.887179092464992	1.92324320113908	2.16836768936031	0	-0.28821812224683	0.345529801466614	0.851019609372069
ENSG00000101	unchanged	7.87572828105201	12.4898022266267	0.0554970501520227	0.0554970501520227	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000102	lag_only	9.03240737086789	107.207708907986	0.00646546025113601	0.00646546025113601	0	2.4237837252729	0	0	mono	TRUE	0	2.21540512999255	2.42365131221074	2.42378371803907	0	0.111800075998521	0.62354429184789	1.06380427545629
ENSG00000103	anticorrelated	9.07063579656882	12.3084510172651	0.0563147368899356	0.0563147368899356	0	1.91873817031809	0	2.27772805454544	mono	FALSE	0	1.80135810779468	1.91871129644882	1.9187381699417	0	-1.54811295909212	-1.36747456605916	-1.36732880088457
ENSG00000104	unchanged	9.10281874517707	50.3721926216559	0.0137605123875816	0.0137605123875816	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000105	unchanged	3.17836510071834	26.7045362838651	0.0259561586537919	0.0259561586537919	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000106	concordant	10.8346398907131	11.5611274140257	0.059954981528794	0.059954981528794	0	1.74356278622806	0	0	impulse	FALSE	0	1.57311186541998	1.08413283631262	0.268947556762916	0	0.422384742973322	1.19218958343428	0.711333860794103
ENSG00000107	unchanged	6.98417682141728	9.2620753489509	0.0748371347074452	0.0748371347074452	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000108	unchanged	3.66279222683675	15.0737444786479	0.0459837422308566	0.0459837422308566	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000109	concordant	4.10302951410999	45.8130684162652	0.0151299008017078	0.0151299008017078	0	-2.61125989431762	0	0	impulse	TRUE	0	-2.49646354648311	-1.87841112079616	-0.960070797761341	0	-0.0833691074209323	-0.38184671591378	-0.608544551433245
ENSG00000110	unchanged	8.57413213059903	11.9689958933408	0.0579118905827007	0.0579118905827007	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000111	unchanged	3.08068031504885	22.0391175814934	0.0314507682985453	0.0314507682985453	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000112	unchanged	7.17500811539116	17.0020925487532	0.0407683453417488	0.0407683453417488	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000113	unchanged	6.82530035943622	15.1628933066883	0.0457133850736918	0.0457133850736918	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000114	buffered	5.7559918457239	7.34197749148862	0.0944087858296344	0.0944087858296344	0	1.55970848886859	0	0.593153710822532	impulse	TRUE	0	0.913933804503579	1.55970848886859	1.31431113447152	0	-0.15444691128865	0.617335541825651	0.532379684235268
ENSG00000115	unchanged	3.40671421269764	15.4311179891245	0.0449187920828846	0.0449187920828846	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000116	unchanged	6.35510737139923	6.50776803649352	0.106510738654635	0.106510738654635	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000117	unchanged	5.10459164405464	27.941747732891	0.0248068655971731	0.0248068655971731	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000118	unchanged	10.1298002219628	6.842851817641	0.101295073900767	0.101295073900767	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000119	unchanged	6.82565537003102	38.6039460799395	0.017955345267673	0.017955345267673	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000120	unchanged	4.49709831933401	16.3705405648007	0.0423411296539789	0.0423411296539789	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000121	concordant	9.75734218741725	6.39877038191028	0.108325059220677	0.108325059220677	-0.77424444772321	-1.75020715432935	0	0	impulse	FALSE	0	-1.74239286119819	-1.09584616387656	-0.509370549500155	0	-0.345048261949291	-1.09497593833862	-0.668952030420281
ENSG00000122	unchanged	5.94463104550117	15.8488720042144	0.0437347957870836	0.0437347957870836	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000123	unchanged	7.49499976055906	9.21056082291912	0.0752556976590558	0.0752556976590558	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000124	concordant	6.18891130170105	8.81991045731722	0.0785889135625966	0.0785889135625966	0	-2.53824397047909	0	0	impulse	FALSE	0	-2.43290748827018	-1.30137470533	-0.288073786193226	0	-0.403321732570814	-1.33531371811867	-0.616386038888466
ENSG00000125	unchanged	5.39232343103784	6.47301537406744	0.10708257906151	0.10708257906151	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000126	concordant	5.95178477416709	8.46787001369555	0.081856143214159	0.081856143214159	0.138453754014737	1.80096223075008	0	0	mono	TRUE	0	1.38510307404562	1.79584221544555	1.80094767488862	0	0.464680461852658	1.54821437349421	1.76827175310567
ENSG00000127	concordant	4.87867793953204	10.8984875009528	0.0636003097218165	0.0636003097218165	0	1.83855168684347	0	0	impulse	FALSE	0	1.81927839491418	0.878018320484418	0.227623915989492	0	0.599741522272025	1.14390564061569	0.609121342079914
ENSG00000128	unchanged	5.93367241930207	3.59527073785235	0.192794154070856	0.192794154070856	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000129	unchanged	7.74292011364924	4.40551375369319	0.157336287959349	0.157336287959349	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000130	unchanged	4.3644794573823	8.59332030858254	0.0806611595599046	0.0806611595599046	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000131	concordant	6.33492186094866	11.6322133685279	0.0595885889125214	0.0595885889125214	0	1.86046402320032	0	0	impulse	FALSE	0	1.44011060489556	1.75241884781662	1.25348066271599	0	0.358761498007551	1.44492912161349	1.44596962230604
ENSG00000132	unchanged	6.52782476326574	8.17495127422647	0.0847891513121626	0.0847891513121626	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000133	lag_only	11.6594175763855	149.300845694922	0.00464262059155582	0.00464262059155582	0	-2.13289618193357	0	0	impulse	FALSE	0	-1.76105358846369	-1.6935957179505	-0.68645974995213	0	-0.0195081611261741	-0.10798950107299	-0.185454385508071
ENSG00000134	unchanged	6.51906348417791	11.4908807222051	0.0603215016600514	0.0603215016600514	0.667018447212403	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000135	unchanged	8.19452182932199	14.9637298361199	0.0463218187010305	0.0463218187010305	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000136	concordant	8.33298223994294	22.2806889989007	0.031109773158009	0.031109773158009	0	-1.45564423671343	0	0	impulse	TRUE	0	-1.18209135507355	-1.22650299558032	-0.605576168160269	0	-0.0960259079007523	-0.512510442280519	-0.676193054415969
ENSG00000137	unchanged	5.41754789924386	39.5814868016501	0.0175119035834462	0.0175119035834462	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000138	unchanged	8.9743401972672	41.76540832286	0.0165962026565548	0.0165962026565548	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000139	concordant	5.1749427635407	64.9193127429265	0.0106770566611624	0.0106770566611624	0	1.92306578305507	0	0	impulse	FALSE	0	1.86198374814087	1.2249447407145	0.505634905545766	0	0.132816563236306	0.539104834417346	0.605797960692624
ENSG00000140	buffered	8.17516021642559	14.9907820099362	0.0462382269384289	0.0462382269384289	0	2.07094107047239	0	0.879875233306371	impulse	TRUE	0	1.68534222810125	1.76684140214567	0.925676388741572	0	-0.0466950143167429	0.587979564551571	-0.0466871745829604
ENSG00000141	unchanged	9.85590319565335	10.448446298259	0.066339737102869	0.066339737102869	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000142	unchanged	5.99091926009286	8.22410965679575	0.084282336871224	0.084282336871224	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000143	unchanged	7.39953033522335	3.46948958777054	0.199783617452893	0.199783617452893	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000144	unchanged	6.07584178064033	11.337003598063	0.0611402452653693	0.0611402452653693	0.821059134816536	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000145	mrna_only	3.73003369836355	6.28688759559131	0.110252834971316	0.110252834971316	0	-1.79310902361336	0.894173585876473	0	mono	TRUE	0	-1.57425912530984	-1.79271113152088	-1.79310893532083	0	0.117429146050035	-0.387235323350712	-0.494545233039296
