accession	gene_id	status
P00361	ENSG00000361	reviewed
P00362	ENSG00000362	reviewed
P00363	ENSG00000363	reviewed
P00364	ENSG00000364	reviewed
P00365	ENSG00000365	reviewed
P00366	ENSG00000366	reviewed
P00367	ENSG00000367	reviewed
P00368	ENSG00000368	reviewed
P00369	ENSG00000369	reviewed
P00370	ENSG00000370	reviewed
P00371	ENSG00000371	reviewed
P00372	ENSG00000372	reviewed
P00373	ENSG00000373	reviewed
P00374	ENSG00000374	reviewed
P00375	ENSG00000375	reviewed
P00376	ENSG00000376	reviewed
P00377	ENSG00000377	reviewed
P00378	ENSG00000378	reviewed
P00379	ENSG00000379	reviewed
P00380	ENSG00000380	reviewed
P00381	ENSG00000381	reviewed
P00382	ENSG00000382	reviewed
P00383	ENSG00000383	reviewed
P00384	ENSG00000384	reviewed
P00385	ENSG00000385	reviewed
P00386	ENSG00000386	reviewed
P00387	ENSG00000387	reviewed
P00388	ENSG00000388	reviewed
P00389	ENSG00000389	reviewed
P00390	ENSG00000390	reviewed
P00391	ENSG00000391	reviewed
P00392	ENSG00000392	reviewed
P00393	ENSG00000393	reviewed
P00394	ENSG00000394	reviewed
P00395	ENSG00000395	reviewed
P00396	ENSG00000396	reviewed
P00397	ENSG00000397	reviewed
P00398	ENSG00000398	reviewed
P00399	ENSG00000399	reviewed
P00400	ENSG00000400	reviewed
P00401	ENSG00000401	reviewed
P00402	ENSG00000402	reviewed
P00403	ENSG00000403	reviewed
P00404	ENSG00000404	reviewed
P00405	ENSG00000405	reviewed
P00406	ENSG00000406	reviewed
P00407	ENSG00000407	reviewed
P00408	ENSG00000408	reviewed
P00409	ENSG00000409	reviewed
P00410	ENSG00000410	reviewed
P00411	ENSG00000411	reviewed
P00412	ENSG00000412	reviewed
P00413	ENSG00000413	reviewed
P00414	ENSG00000414	reviewed
P00415	ENSG00000415	reviewed
P00416	ENSG00000416	reviewed
P00417	ENSG00000417	reviewed
P00418	ENSG00000418	reviewed
P00419	ENSG00000419	reviewed
P00420	ENSG00000420	reviewed
P00421	ENSG00000421	reviewed
P00422	ENSG00000422	reviewed
P00423	ENSG00000423	reviewed
P00424	ENSG00000424	reviewed
P00425	ENSG00000425	reviewed
P00426	ENSG00000426	reviewed
P00427	ENSG00000427	reviewed
P00428	ENSG00000428	reviewed
P00429	ENSG00000429	reviewed
P00430	ENSG00000430	reviewed
P00431	ENSG00000431	reviewed
P00432	ENSG00000432	reviewed
P00433	ENSG00000433	reviewed
P00434	ENSG00000434	reviewed
P00435	ENSG00000435	reviewed
P00436	ENSG00000436	reviewed
P00437	ENSG00000437	reviewed
P00438	ENSG00000438	reviewed
P00439	ENSG00000439	reviewed
P00440	ENSG00000440	reviewed
P00441	ENSG00000441	reviewed
P00442	ENSG00000442	reviewed
P00443	ENSG00000443	reviewed
P00444	ENSG00000444	reviewed
P00445	ENSG00000445	reviewed
P00446	ENSG00000446	reviewed
P00447	ENSG00000447	reviewed
P00448	ENSG00000448	reviewed
P00449	ENSG00000449	reviewed
P00450	ENSG00000450	reviewed
P00451	ENSG00000451	reviewed
P00452	ENSG00000452	reviewed
P00453	ENSG00000453	reviewed
P00454	ENSG00000454	reviewed
P00455	ENSG00000455	reviewed
P00456	ENSG00000456	reviewed
P00457	ENSG00000457	reviewed
P00458	ENSG00000458	reviewed
P00459	ENSG00000459	reviewed
P00460	ENSG00000460	reviewed
P00461	ENSG00000461	reviewed
P00462	ENSG00000462	reviewed
P00463	ENSG00000463	reviewed
P00464	ENSG00000464	reviewed
P00465	ENSG00000465	reviewed
P00466	ENSG00000466	reviewed
P00467	ENSG00000467	reviewed
P00468	ENSG00000468	reviewed
P00469	ENSG00000469	reviewed
P00470	ENSG00000470	reviewed
P00471	ENSG00000471	reviewed
P00472	ENSG00000472	reviewed
P00473	ENSG00000473	reviewed
P00474	ENSG00000474	reviewed
P00475	ENSG00000475	reviewed
P00476	ENSG00000476	reviewed
P00477	ENSG00000477	reviewed
P00478	ENSG00000478	reviewed
P00479	ENSG00000479	reviewed
P00480	ENSG00000480	reviewed
P00481	ENSG00000481	reviewed
P00482	ENSG00000482	reviewed
P00483	ENSG00000483	reviewed
P00484	ENSG00000484	reviewed
P00485	ENSG00000485	reviewed
P00486	ENSG00000486	reviewed
P00487	ENSG00000487	reviewed
P00488	ENSG00000488	reviewed
P00489	ENSG00000489	reviewed
P00490	ENSG00000490	reviewed
P00491	ENSG00000491	reviewed
P00492	ENSG00000492	reviewed
P00493	ENSG00000493	reviewed
P00494	ENSG00000494	reviewed
P00495	ENSG00000495	reviewed
P00496	ENSG00000496	reviewed
P00497	ENSG00000497	reviewed
P00498	ENSG00000498	reviewed
P00499	ENSG00000499	reviewed
P00500	ENSG00000500	reviewed
P00501	ENSG00000501	reviewed
P00502	ENSG00000502	reviewed
P00503	ENSG00000503	reviewed
P00504	ENSG00000504	reviewed
P00505	ENSG00000505	reviewed
P00506	ENSG00000506	reviewed
P00507	ENSG00000507	reviewed
P00508	ENSG00000508	reviewed
P00509	ENSG00000509	reviewed
P00510	ENSG00000510	reviewed
P00511	ENSG00000511	reviewed
P00512	ENSG00000512	reviewed
P00513	ENSG00000513	reviewed
P00514	ENSG00000514	reviewed
P00515	ENSG00000515	reviewed
P00516	ENSG00000516	reviewed
P00517	ENSG00000517	reviewed
P00518	ENSG00000518	reviewed
P00519	ENSG00000519	reviewed
P00520	ENSG00000520	reviewed
P00521	ENSG00000521	reviewed
P00522	ENSG00000522	reviewed
P00523	ENSG00000523	reviewed
P00524	ENSG00000524	reviewed
P00525	ENSG00000525	reviewed
P00526	ENSG00000526	reviewed
P00527	ENSG00000527	reviewed
P00528	ENSG00000528	reviewed
P00529	ENSG00000529	reviewed
P00530	ENSG00000530	reviewed
P00531	ENSG00000531	reviewed
P00532	ENSG00000532	reviewed
P00533	ENSG00000533	reviewed
P00534	ENSG00000534	reviewed
P00535	ENSG00000535	reviewed
P00536	ENSG00000536	reviewed
P00537	ENSG00000537	reviewed
P00538	ENSG00000538	reviewed
P00539	ENSG00000539	reviewed
P00540	ENSG00000540	reviewed
P00541	ENSG00000541	reviewed
P00542	ENSG00000542	reviewed
P00543	ENSG00000543	reviewed
P00544	ENSG00000544	reviewed
P00545	ENSG00000545	reviewed
P00546	ENSG00000546	reviewed
P00547	ENSG00000547	reviewed
P00548	ENSG00000548	reviewed
P00549	ENSG00000549	reviewed
P00550	ENSG00000550	reviewed
P00551	ENSG00000551	reviewed
P00552	ENSG00000552	reviewed
P00553	ENSG00000553	reviewed
P00554	ENSG00000554	reviewed
P00555	ENSG00000555	reviewed
P00556	ENSG00000556	reviewed
P00557	ENSG00000557	reviewed
P00558	ENSG00000558	reviewed
P00559	ENSG00000559	reviewed
P00560	ENSG00000560	reviewed
P00561	ENSG00000561	reviewed
P00562	ENSG00000562	reviewed
P00563	ENSG00000563	reviewed
P00564	ENSG00000564	reviewed
P00565	ENSG00000565	reviewed
P00566	ENSG00000566	reviewed
P00567	ENSG00000567	reviewed
P00568	ENSG00000568	reviewed
P00569	ENSG00000569	reviewed
P00570	ENSG00000570	reviewed
P00571	ENSG00000571	reviewed
P00572	ENSG00000572	reviewed
P00573	ENSG00000573	reviewed
P00574	ENSG00000574	reviewed
P00575	ENSG00000575	reviewed
P00576	ENSG00000576	reviewed
P00577	ENSG00000577	reviewed
P00578	ENSG00000578	reviewed
P00579	ENSG00000579	reviewed
P00580	ENSG00000580	reviewed
P00581	ENSG00000581	reviewed
P00582	ENSG00000582	reviewed
P00583	ENSG00000583	reviewed
P00584	ENSG00000584	reviewed
P00585	ENSG00000585	reviewed
P00586	ENSG00000586	reviewed
P00587	ENSG00000587	reviewed
P00588	ENSG00000588	reviewed
P00589	ENSG00000589	reviewed
P00590	ENSG00000590	reviewed
P00591	ENSG00000591	reviewed
P00592	ENSG00000592	reviewed
P00593	ENSG00000593	reviewed
P00594	ENSG00000594	reviewed
P00595	ENSG00000595	reviewed
P00596	ENSG00000596	reviewed
P00597	ENSG00000597	reviewed
P00598	ENSG00000598	reviewed
P00599	ENSG00000599	reviewed
P00600	ENSG00000600	reviewed
P00601	ENSG00000601	reviewed
P00602	ENSG00000602	reviewed
P00603	ENSG00000603	reviewed
P00604	ENSG00000604	reviewed
P00605	ENSG00000605	reviewed
P00606	ENSG00000606	reviewed
P00607	ENSG00000607	reviewed
P00608	ENSG00000608	reviewed
P00609	ENSG00000609	reviewed
P00610	ENSG00000610	reviewed
P00611	ENSG00000611	reviewed
P00612	ENSG00000612	reviewed
P00613	ENSG00000613	reviewed
P00614	ENSG00000614	reviewed
P00615	ENSG00000615	reviewed
P00616	ENSG00000616	reviewed
P00617	ENSG00000617	reviewed
P00618	ENSG00000618	reviewed
P00619	ENSG00000619	reviewed
P00620	ENSG00000620	reviewed
P00621	ENSG00000621	reviewed
P00622	ENSG00000622	reviewed
P00623	ENSG00000623	reviewed
P00624	ENSG00000624	reviewed
P00625	ENSG00000625	reviewed
P00626	ENSG00000626	reviewed
P00627	ENSG00000627	reviewed
P00628	ENSG00000628	reviewed
P00629	ENSG00000629	reviewed
P00630	ENSG00000630	reviewed
P00631	ENSG00000631	reviewed
P00632	ENSG00000632	reviewed
P00633	ENSG00000633	reviewed
P00634	ENSG00000634	reviewed
P00635	ENSG00000635	reviewed
P00636	ENSG00000636	reviewed
P00637	ENSG00000637	reviewed
P00638	ENSG00000638	reviewed
P00639	ENSG00000639	reviewed
P00640	ENSG00000640	reviewed
P00641	ENSG00000641	reviewed
P00642	ENSG00000642	reviewed
P00643	ENSG00000643	reviewed
P00644	ENSG00000644	reviewed
P00645	ENSG00000645	reviewed
P00646	ENSG00000646	reviewed
P00647	ENSG00000647	reviewed
P00648	ENSG00000648	reviewed
P00649	ENSG00000649	reviewed
P00650	ENSG00000650	reviewed
P00651	ENSG00000651	reviewed
P00652	ENSG00000652	reviewed
P00653	ENSG00000653	reviewed
P00654	ENSG00000654	reviewed
P00655	ENSG00000655	reviewed
P00656	ENSG00000656	reviewed
P00657	ENSG00000657	reviewed
P00658	ENSG00000658	reviewed
P00659	ENSG00000659	reviewed
P00660	ENSG00000660	reviewed
P00661	ENSG00000661	reviewed
P00662	ENSG00000662	reviewed
P00663	ENSG00000663	reviewed
P00664	ENSG00000664	reviewed
P00665	ENSG00000665	reviewed
P00666	ENSG00000666	reviewed
P00667	ENSG00000667	reviewed
P00668	ENSG00000668	reviewed
P00669	ENSG00000669	reviewed
P00670	ENSG00000670	reviewed
P00671	ENSG00000671	reviewed
P00672	ENSG00000672	reviewed
P00673	ENSG00000673	reviewed
P00674	ENSG00000674	reviewed
P00675	ENSG00000675	reviewed
P00676	ENSG00000676	reviewed
P00677	ENSG00000677	reviewed
P00678	ENSG00000678	reviewed
P00679	ENSG00000679	reviewed
P00680	ENSG00000680	reviewed
P00681	ENSG00000681	reviewed
P00682	ENSG00000682	reviewed
P00683	ENSG00000683	reviewed
P00684	ENSG00000684	reviewed
P00685	ENSG00000685	reviewed
P00686	ENSG00000686	reviewed
P00687	ENSG00000687	reviewed
P00688	ENSG00000688	reviewed
P00689	ENSG00000689	reviewed
P00690	ENSG00000690	reviewed
P00691	ENSG00000691	reviewed
P00692	ENSG00000692	reviewed
P00693	ENSG00000693	reviewed
P00694	ENSG00000694	reviewed
P00695	ENSG00000695	reviewed
P00696	ENSG00000696	reviewed
P00697	ENSG00000697	reviewed
P00698	ENSG00000698	reviewed
P00699	ENSG00000699	reviewed
P00700	ENSG00000700	reviewed
P00701	ENSG00000701	reviewed
P00702	ENSG00000702	reviewed
P00703	ENSG00000703	reviewed
P00704	ENSG00000704	reviewed
P00705	ENSG00000705	reviewed
P00706	ENSG00000706	reviewed
P00707	ENSG00000707	reviewed
P00708	ENSG00000708	reviewed
P00709	ENSG00000709	reviewed
P00710	ENSG00000710	reviewed
P00711	ENSG00000711	reviewed
P00712	ENSG00000712	reviewed
P00713	ENSG00000713	reviewed
P00714	ENSG00000714	reviewed
P00715	ENSG00000715	reviewed
P00716	ENSG00000716	reviewed
P00717	ENSG00000717	reviewed
P00718	ENSG00000718	reviewed
P00719	ENSG00000719	reviewed
P00720	ENSG00000720	reviewed
P00721	ENSG00000721	reviewed
P00722	ENSG00000722	reviewed
P00723	ENSG00000723	reviewed
P00724	ENSG00000724	reviewed
P00725	ENSG00000725	reviewed
P00726	ENSG00000726	reviewed
P00727	ENSG00000727	reviewed
P00728	ENSG00000728	reviewed
P00729	ENSG00000729	reviewed
P00730	ENSG00000730	reviewed
P00731	ENSG00000731	reviewed
P00732	ENSG00000732	reviewed
P00733	ENSG00000733	reviewed
P00734	ENSG00000734	reviewed
P00735	ENSG00000735	reviewed
P00736	ENSG00000736	reviewed
P00737	ENSG00000737	reviewed
P00738	ENSG00000738	reviewed
P00739	ENSG00000739	reviewed
P00740	ENSG00000740	reviewed
P00741	ENSG00000741	reviewed
P00742	ENSG00000742	reviewed
P00743	ENSG00000743	reviewed
P00744	ENSG00000744	reviewed
P00745	ENSG00000745	reviewed
P00746	ENSG00000746	reviewed
P00747	ENSG00000747	reviewed
P00748	ENSG00000748	reviewed
P00749	ENSG00000749	reviewed
P00750	ENSG00000750	reviewed
P00751	ENSG00000751	reviewed
P00752	ENSG00000752	reviewed
P00753	ENSG00000753	reviewed
P00754	ENSG00000754	reviewed
P00755	ENSG00000755	reviewed
P00756	ENSG00000756	reviewed
P00757	ENSG00000757	reviewed
P00758	ENSG00000758	reviewed
P00759	ENSG00000759	reviewed
P00760	ENSG00000760	reviewed
P00761	ENSG00000761	reviewed
P00762	ENSG00000762	reviewed
P00763	ENSG00000763	reviewed
P00764	ENSG00000764	reviewed
P00765	ENSG00000765	reviewed
P00766	ENSG00000766	reviewed
P00767	ENSG00000767	reviewed
P00768	ENSG00000768	reviewed
P00769	ENSG00000769	reviewed
P00770	ENSG00000770	reviewed
P00771	ENSG00000771	reviewed
P00772	ENSG00000772	reviewed
P00773	ENSG00000773	reviewed
P00774	ENSG00000774	reviewed
P00775	ENSG00000775	reviewed
P00776	ENSG00000776	reviewed
P00777	ENSG00000777	reviewed
P00778	ENSG00000778	reviewed
P00779	ENSG00000779	reviewed
P00780	ENSG00000780	reviewed
P00781	ENSG00000781	reviewed
P00782	ENSG00000782	reviewed
P00783	ENSG00000783	reviewed
P00784	ENSG00000784	reviewed
P00785	ENSG00000785	reviewed
P00786	ENSG00000786	reviewed
P00787	ENSG00000787	reviewed
P00788	ENSG00000788	reviewed
P00789	ENSG00000789	reviewed
P00790	ENSG00000790	reviewed
P00791	ENSG00000791	reviewed
P00792	ENSG00000792	reviewed
P00793	ENSG00000793	reviewed
P00794	ENSG00000794	reviewed
P00795	ENSG00000795	reviewed
P00796	ENSG00000796	reviewed
P00797	ENSG00000797	reviewed
P00798	ENSG00000798	reviewed
P00799	ENSG00000799	reviewed
P00800	ENSG00000800	reviewed
P00801	ENSG00000801	reviewed
P00802	ENSG00000802	reviewed
P00803	ENSG00000803	reviewed
P00804	ENSG00000804	reviewed
P00805	ENSG00000805	reviewed
P00806	ENSG00000806	reviewed
P00807	ENSG00000807	reviewed
P00808	ENSG00000808	reviewed
P00809	ENSG00000809	reviewed
P00810	ENSG00000810	reviewed
P00811	ENSG00000811	reviewed
P00812	ENSG00000812	reviewed
P00813	ENSG00000813	reviewed
P00814	ENSG00000814	reviewed
P00815	ENSG00000815	reviewed
P00816	ENSG00000816	reviewed
P00817	ENSG00000817	reviewed
P00818	ENSG00000818	reviewed
P00819	ENSG00000819	reviewed
P00820	ENSG00000820	reviewed
P00821	ENSG00000821	reviewed
P00822	ENSG00000822	reviewed
