layer	feature	freq
rna	ENSG00003771	0
rna	ENSG00003598	0
rna	ENSG00002787	0
rna	ENSG00001671	0
rna	ENSG00000515	0
rna	ENSG00002510	0
rna	ENSG00001244	0
rna	ENSG00000725	0
rna	ENSG00001426	0
rna	ENSG00001017	0
rna	ENSG00002040	0
rna	ENSG00003955	0
rna	ENSG00002865	0
rna	ENSG00002330	0
rna	ENSG00002678	0
rna	ENSG00002545	0
rna	ENSG00002248	0
rna	ENSG00003377	0
rna	ENSG00002457	0
rna	ENSG00002776	0
rna	ENSG00002212	0
rna	ENSG00000663	0
rna	ENSG00000450	0
rna	ENSG00001192	0
rna	ENSG00001380	0
rna	ENSG00003294	0
rna	ENSG00001311	0
rna	ENSG00000182	0
rna	ENSG00002726	0
rna	ENSG00002552	0
rna	ENSG00001361	0
rna	ENSG00001113	0
rna	ENSG00001294	0
rna	ENSG00000716	0
rna	ENSG00002591	0
rna	ENSG00002706	0
rna	ENSG00001593	0
rna	ENSG00002885	0
rna	ENSG00000487	0
rna	ENSG00003983	0
rna	ENSG00000652	0
rna	ENSG00003943	0
rna	ENSG00003609	0
rna	ENSG00001561	0
rna	ENSG00001417	0
rna	ENSG00002304	0
rna	ENSG00001793	0
rna	ENSG00001107	0
rna	ENSG00000320	0
rna	ENSG00003624	0
rna	ENSG00003835	0
rna	ENSG00002282	0
rna	ENSG00000283	0
rna	ENSG00001856	0
rna	ENSG00003140	0
rna	ENSG00001235	0
rna	ENSG00002737	0
rna	ENSG00001488	0
rna	ENSG00003927	0
rna	ENSG00003831	0
rna	ENSG00003047	0
rna	ENSG00002713	0
rna	ENSG00002018	0
rna	ENSG00000928	0
rna	ENSG00001794	0
rna	ENSG00000884	0
rna	ENSG00003348	0
rna	ENSG00001335	0
rna	ENSG00003894	0
rna	ENSG00003391	0
rna	ENSG00000364	0
rna	ENSG00002252	0
rna	ENSG00002289	0
rna	ENSG00003917	0
rna	ENSG00003737	0
rna	ENSG00001092	0
rna	ENSG00000649	0
rna	ENSG00001947	0
rna	ENSG00000557	0
rna	ENSG00003571	0
rna	ENSG00003560	0
rna	ENSG00003275	0
rna	ENSG00001746	0
rna	ENSG00001420	0
rna	ENSG00003557	0
rna	ENSG00001959	0
rna	ENSG00003091	0
rna	ENSG00000680	0
rna	ENSG00002717	0
rna	ENSG00001529	0
rna	ENSG00000804	0
rna	ENSG00000641	0
rna	ENSG00003206	0
rna	ENSG00000351	0
rna	ENSG00002309	0
rna	ENSG00000483	0
rna	ENSG00001392	0
rna	ENSG00001119	0
rna	ENSG00002088	0
rna	ENSG00002815	0
rna	ENSG00000768	0
rna	ENSG00001454	0
rna	ENSG00002505	0
rna	ENSG00002738	0
rna	ENSG00003386	0
rna	ENSG00001330	0
rna	ENSG00001338	0
rna	ENSG00000617	0
rna	ENSG00003100	0
rna	ENSG00002675	0
rna	ENSG00002058	0
rna	ENSG00001077	0
rna	ENSG00001590	0
rna	ENSG00000324	0
rna	ENSG00001839	0
rna	ENSG00001460	0
rna	ENSG00001253	0
rna	ENSG00002280	0
rna	ENSG00000686	0
rna	ENSG00003267	0
rna	ENSG00000126	0
rna	ENSG00002064	0
rna	ENSG00000691	0
rna	ENSG00003918	0
rna	ENSG00001031	0
rna	ENSG00003364	0
rna	ENSG00003246	0
rna	ENSG00000476	0
rna	ENSG00003104	0
rna	ENSG00000795	0
rna	ENSG00000590	0
rna	ENSG00000771	0
rna	ENSG00000646	0
rna	ENSG00000684	0
rna	ENSG00001401	0
rna	ENSG00000133	0
rna	ENSG00002619	0
rna	ENSG00003987	0
rna	ENSG00003801	0
rna	ENSG00000853	0
rna	ENSG00000396	0
rna	ENSG00001530	0
rna	ENSG00000505	0
rna	ENSG00000063	0
rna	ENSG00002762	0
rna	ENSG00000194	0
rna	ENSG00000353	0
rna	ENSG00002546	0
rna	ENSG00000350	0
rna	ENSG00002313	0
rna	ENSG00001108	0
rna	ENSG00002892	0
rna	ENSG00003629	0
rna	ENSG00003554	0
rna	ENSG00003561	0
rna	ENSG00001712	0
rna	ENSG00003581	0
rna	ENSG00000383	0
rna	ENSG00002914	0
rna	ENSG00003726	0
rna	ENSG00002277	0
rna	ENSG00002294	0
rna	ENSG00000201	0
rna	ENSG00001481	0
rna	ENSG00001282	0
rna	ENSG00002434	0
rna	ENSG00003653	0
rna	ENSG00003358	0
rna	ENSG00002362	0
rna	ENSG00003191	0
rna	ENSG00000582	0
rna	ENSG00000605	0
rna	ENSG00001713	0
rna	ENSG00002806	0
rna	ENSG00001565	0
rna	ENSG00001668	0
rna	ENSG00003443	0
rna	ENSG00001547	0
rna	ENSG00000091	0
rna	ENSG00003517	0
