group_id	majority_protein_ids	unique_peptides	reverse	potential_contaminant	only_identified_by_site
PG00239	P00514	4			
PG00240	P00517	4			
PG00241	P00519	4			
PG00242	P00523	11			
PG00246	P00532	5			
PG00247	P00533	8			
PG00248	P00535	5			
PG00249	P00540	5			
PG00251	P00544	4			
PG00252	P00547	6			
PG00254	P00552	3			
PG00255	P00553	4			
PG00256	P00555	4			
PG00257	P00558	5			
PG00258	P00559	4			
PG00259	P00560	8			
PG00261	P00566	8			
PG00261b	P00566	5			
PG00262	P00567	4			
PG00263	P00568	6			
PG00264	P00572	3			
PG00265	P00573	5			
PG00267	P00590	5			
PG00268	P00592	10			
PG00269	P00595	6			
PG00270	P00597	2			
PG00271	P00598	3			
PG00272	P00599	5			
PG00273	P00601	9			
PG00274	P00604	2			
PG00275	P00606	5			
PG00276	P00607	6			
PG00277	P00614	4			
PG00279	P00619	7			
PG00281	P00631	5			
PG00282	P00634	4			
PG00284	P00638	6			
PG00285	P00641	6			
PG00286	P00643	3			
PG00287	P00644	3			
PG00288	P00646	4			
PG00290	P00648	7			
PG00291	P00649	4			
PG00292	P00651	2			
PG00293	P00655	5			
PG00294	P00659	3			
PG00295	P00660	5			
PG00296	P00661	9			
PG00298	P00663	6			
PG00299	P00664	5			
PG00301	P00666	8			
PG00302	P00667	6			
PG00303	P00668	10			
PG00304	P00671	6			
PG00305	P00673	3			
PG00306	P00675	11			
PG00307	P00676	4			
PG00308	P00678	2			
PG00309	P00682	4			
PG00310	P00683	8			
PG00311	P00688;Q9ORPH2	7			
PG00313	P00693	4			
PG00314	P00694	9			
PG00315	P00699	7			
PG00316	P00700	11			
PG00317	P00705	5			
PG00318	P00709	2			
PG00319	P00710	5			
PG00320	P00711	4			
PG00321	P00714	5			
PG00323	P00717	6			
PG00324	P00722	4			
PG00326	P00726	8			
PG00327	P00729	5			
PG00328	P00734	3			
PG00330	P00736	5			
PG00331	P00738	9			
PG00331b	P00738	4			
PG00332	P00740	4			
PG00334	P00743	7			
PG00337	P00749	7			
PG00338	P00750	7			
PG00339	P00752	6			
PG00340	P00753	2			
PG00342	P00760	5			
PG00343	P00763	8			
PG00344	P00769	4			
PG00345	P00777	4			
PG00346	P00779	7			
PG00347	P00784	3			
PG00349	P00788	6			
PG00350	P00790	3			
PG00351	P00791	2			
PG00352	P00793	6			
PG00352b	P00793	4			
PG00353	P00796	3			
PG00354	P00797	8			
PG00355	P00799	4			
PG00356	P00801	7			
PG00357	P00802	8			
PG00358	P00803	9			
PG00361	P00816	3			
PG00362	P00817	9			
PG00364	P00820	5			
PG00366	P00828	4			
PG00367	P00829	5			
PG00369	P00831	7			
PG00370	P00832	8			
PG00371	P00836	5			
PG00372	P00837	8			
PG00373	P00838	8			
PG00374	P00839	7			
PG00375	P00842	4			
PG00376	P00844	7			
PG00376b	P00844	5			
PG00377	P00845	8			
PG00378	P00848	5			
PG00379	P00849	8			
PG00380	P00850	5			
PG00381	P00851	5			
PG00383	P00854	3			
PG00384	P00855	6			
PG00385	P00856	6			
PG00387	P00860	3			
PG00388	P00862	7			
PG00389	P00863	3			
PG00390	P00866	5			
PG00391	P00870	5			
PG00391b	P00870	4			
PG00392	P00873	3			
PG00393	P00875	6			
PG00393b	P00875	5			
PG00395	P00880	5			
PG00398	P00886	7			
PG00399	P00888	4			
PG00400	P00889	7			
PG00401	P00894	4			
PG00402	P00896	4			
PG00403	P00897	7			
PG00404	P00899	8			
PG00405	P00901	7			
PG00406	P00903	6			
PG00407	P00908	5			
PG00408	P00910	6			
PG00409	P00914	7			
PG00410	P00916	4			
PG00410b	P00916	5			
PG00411	P00921	3			
PG00413	P00929	2			
PG00414	P00930	3			
PG00415	P00931	5			
PG00417	P00934	6			
PG00418	P00935	6			
PG00420	P00938	6			
PG00421	P00942	3			
PG00423	P00953	6			
PG00424	P00955	3			
PG00425	P00956	3			
PG00425b	P00956	7			
PG00426	P00957	5			
PG00427	P00959	4			
PG00428	P00960	3			
PG00429	P00961	4			
PG00430	P00963	8			
PG00431	P00965	5			
PG00432	P00968	4			
PG00433	P00970	5			
PG00435	P00981	5			
PG00436	P00982	8			
PG00437	P00985	6			
PG00439	P00988	4			
PG00440	P00990	6			
PG00441	P00991	7			
PG00443	P00994	10			
PG00444	P00995	5			
PG00445	P00999	9			
PG00446	P01005	7			
PG00448b	P01010	4			
PG00449	P01011	3			
PG00450	P01014	6			
PG00452	P01017	6			
PG00453	P01018	4			
PG00454	P01019	2			
PG00455	P01020	3			
PG00456	P01021	5			
PG00457	P01024	5			
PG00458	P01026	2			
PG00460	P01028	7			
PG00461	P01030	2			
PG00462	P01031	6			
PG00463	P01032	4			
PG00464	P01035	4			
PG00465	P01037	5			
PG00466	P01039	2			
PG00466b	P01039	10			
PG00467	P01040	4			
PG00468	P01047	5			
PG00469	P01049	7			
PG00470	P01053	4			
PG00471	P01055	3			
PG00472	P01062	4			
PG00474	P01071	6			
PG00475	P01073	5			
PG00476	P01075	3			
PG00477	P01076	4			
PG00478	P01077	7			
PG00479	P01081	5			
PG00480	P01082	7			
PG00481	P01083	5			
PG00483	P01088	2			
PG00484	P01089	7			
PG00485	P01090	4			
PG00486	P01092	9			
PG00487	P01096	10			
PG00488	P01097	7			
PG00490	P01100	5			
PG00491	P01102	4			
PG00492	P01105	9			
PG00493	P01107	3			
PG00494	P01108	5			
PG00495	P01109	7			
PG00496	P01111	3			
PG00497	P01112	5			
PG00498	P01113	3			
PG00499	P01114	6			
PG00500	P01115	6			
PG00502	P01123	4			
PG00503	P01124	2			
PG00504	P01125	6			
PG00506	P01127	6			
PG00506b	P01127	7			
PG00507	P01128	5			
PG00508	P01131	6			
PG00511	P01136	6			
PG00512	P01137	4			
PG00513	P01138	7			
PG00514	P01139	10			
PG00515	P01143	7			
PG00516	P01144	7			
PG00517	P01145	6			
PG00518	P01149	2			
PG00519	P01152	3			
PG00520	P01153	4			
PG00521	P01154	6			
PG00522	P01155	7			
PG00524	P01158	4			
PG00526	P01163	9			
PG00527	P01164	5			
PG00528	P01167	3			
PG00529	P01168	6			
PG00530	P01170	7			
PG00531	P01171	9			
PG00532	P01173	4			
PG00532b	P01173	6			
PG00533	P01174	3			
PG00534	P01177	5			
PG00535	P01183;Q9ORPH12	6			
PG00536	P01184	6			
PG00537	P01186	4			
PG00538	P01187	5			
PG00539	P01188	8			
PG00540	P01189	5			
PG00540b	P01189	5			
PG00541	P01190	4			
PG00542	P01192	8			
PG00543	P01193	3			
PG00544	P01194	3			
PG00545	P01195	4			
PG00546	P01198	4			
PG00547	P01199	9			
PG00548	P01201	8			
PG00550	P01209	12			
PG00553	P01217	4			
PG00554	P01219	3			
PG00555	P01220	4			
PG00556	P01225	4			
PG00557	P01226	5			
PG00558	P01227	8			
PG00559	P01228	3			
PG00560	P01229	3			
PG00561	P01230	6			
PG00563	P01238	8			
PG00564	P01239	6			
PG00565	P01240	4			
PG00566	P01243	4			
PG00567	P01244	2			
PG00568	P01248	4			
PG00569	P01249	6			
PG00570	P01256	4			
PG00571	P01257	3			
PG00572	P01259	7			
PG00573	P01261	4			
PG00574	P01262	4			
PG00574b	P01262	7			
PG00575	P01263	2			
PG00576	P01266	3			
PG00577	P01268	10			
PG00578	P01271	6			
PG00579	P01281	3			
PG00580	P01282	5			
PG00581	P01284	4			
PG00582	P01286	7			
PG00585	P01296	5			
PG00587	P01299	6			
PG00590	P01304	3			
PG00591	P01305	4			
PG00592	P01307	5			
PG00593	P01308	5			
PG00595	P01318	11			
PG00596	P01322	8			
PG00597	P01323	3			
PG00599	P01327	6			
PG00602	P01331	4			
PG00603	P01333	2			
PG00604	P01336	12			
PG00605	P01337	3			
PG00606	P01343	4			
PG00607	P01347	5			
PG00608	P01348	4			
PG00609	P01353	6			
PG00610	P01354	6			
PG00611	P01355	5			
PG00612	P01357	7			
PG00613	P01364	4			
PG00615	P01366	6			
PG00617	P01372	4			
PG00618	P01373	7			
PG00619	P01375	12			
PG00620	P01377	3			
PG00621	P01380	7			
PG00622	P01383	4			
PG00623	P01385	4			
PG00624	P01388	4			
PG00626	P01392	5			
PG00628	P01395	5			
PG00629	P01397	2			
PG00630	P01405	4			
PG00632	P01410	4			
PG00634	P01426	2			
PG00635	P01427	6			
PG00637	P01434;Q9ORPH11	8			
PG00638	P01436	3			
PG00640	P01439	4			
PG00641	P01440	5			
PG00641b	P01440	6			
PG00642	P01443	2			
PG00643	P01444	8			
PG00644	P01449	4			
PG00646	P01453	7			
PG00647	P01454	6			
PG00648	P01456	2			
PG00649	P01458	5			
PG00651	P01462	6			
PG00652	P01463	3			
PG00653	P01464	5			
PG00654	P01467	10			
PG00657	P01473	4			
PG00658	P01474	9			
PG00659	P01476	5			
PG00660	P01478	6			
PG00661	P01479	7			
PG00662	P01484	3			
PG00664	P01490	6			
PG00665	P01492	2			
PG00666	P01494	6			
PG00666b	P01494	6			
PG00668	P01502	7			
PG00669	P01503	4			
PG00670	P01505	6			
PG00671	P01508	6			
PG00673	P01511	9			
PG00674	P01514	3			
PG00675	P01516	3			
PG00676	P01517	6			
PG00677	P01519	12			
PG00678	P01521;Q9ORPH13	5			
PG00679	P01522	4			
PG00680	P01524;Q9ORPH10	4			
PG00682	P01539	7			
PG00683	P01540	6			
PG00684	P01542	4			
PG00685	P01544	3			
PG00686	P01549	7			
PG00687	P01550	4			
PG00688	P01552	5			
PG00689	P01553	4			
PG00690	P01554	4			
PG00691	P01558	3			
PG00694	P01561	2			
PG00695	P01563	6			
PG00696	P01564	2			
PG00697	P01567	10			
PG00698	P01570	3			
PG00699	P01571	3			
PG00700	P01572	4			
PG00700b	P01572	5			
PG00701	P01573	6			
PG00702	P01577	4			
PG00703	P01578	4			
PG00704	P01583	3			
PG00705	P01584	3			
PG00706	P01587	6			
PG00707	P01591	7			
PG00708	P01593	3			
PG00709	P01594	4			
PG00710	P01596	2			
PG00711	P01597	7			
PG00712	P01599	7			
PG00713	P01600	9			
PG00713b	P01600	4			
PG00714	P01601	4			
PG00715	P01605	4			
PG00716	P01606	7			
PG00718	P01608	5			
PG00719	P01610	4			
PG00720	P01611	7			
PG00721	P01613	7			
PG00723	P01617	2			
PG00724	P01621	5			
PG00725	P01622	8			
PG00726	P01623	9			
PG00727	P01625	4			
PG00728	P01629	3			
PG00729	P01633	7			
PG00730	P01634	6			
PG00732	P01645	4			
PG00734	P01648	9			
PG00737	P01653	5			
PG00738	P01656	11			
PG00739	P01657	6			
PG00740	P01658	5			
PG00741	P01661	8			
PG00743	P01664	4			
PG00744	P01665	5			
PG00746	P01670	9			
PG00747	P01672	3			
PG00748	P01673	5			
PG00749b	P01674	7			
PG00750	P01676	5			
PG00751	P01677	9			
PG00752	P01678	4			
PG00753	P01679	4			
PG00755	P01684	4			
PG00756	P01685	8			
PG00757	P01686	5			
PG00759	P01688	5			
PG00759b	P01688	4			
PG00760	P01689	5			
PG00761	P01690	5			
PG00763	P01694	8			
PG00764	P01698	6			
PG00765	P01703	2			
PG00766	P01704	8			
PG00766b	P01704	4			
PG00769	P01709	6			
PG00769b	P01709	4			
PG00770	P01711	7			
PG00772	P01713	8			
PG00773	P01715	6			
PG00774	P01719	3			
PG00775	P01721	6			
PG00777	P01728	5			
PG00778	P01729	4			
PG00779	P01732	7			
PG00780	P01733	4			
PG00782	P01740	5			
PG00783	P01741	6			
PG00784	P01742	6			
PG00785	P01743	8			
PG00786	P01744	4			
PG00787	P01745	7			
PG00788	P01747	3			
PG00789	P01748	5			
PG00790	P01749	4			
PG00792	P01752	6			
PG00793	P01753	7			
PG00794	P01755	5			
PG00795	P01762	6			
PG00796	P01763	4			
PG00798	P01765	6			
PG00799	P01767	10			
PG00800	P01768	7			
PG00802	P01778	6			
PG00803	P01780	2			
PG00804	P01781	8			
PG00805	P01783	5			
PG00806	P01785	8			
PG00808	P01789	8			
PG00810	P01791	4			
PG00812	P01794	5			
PG00813	P01798	5			
PG00814	P01799	5			
PG00815	P01802	9			
PG00816	P01803	2			
PG00817	P01804	4			
PG00818	P01818	3			
PG00820	P01823	6			
PG00821	P01824	6			
PG00822	P01825	3			
PG00823	P01827	6			
PG00824	P01830	4			
PG00825	P01831	3			
PG00826	P01835	5			
PG00827	P01838	11			
PG00829	P01840	6			
PG00830	P01842	5			
PG00833	P01846	8			
PG00834	P01850	5			
PG00835	P01855	2			
PG00836	P01856	3			
PG00837	P01858	4			
PG00838	P01860	4			
PG00840	P01864	7			
PG00841	P01866	4			
PG00843	P01873	5			
PG00845	P01882	5			
PG00846	P01884	3			
PG00847	P01887	5			
PG00848	P01889	4			
PG00849	P01891	6			
PG00850	P01895	5			
PG00852	P01897	7			
PG00853	P01902	2			
PG00855	P01905	7			
PG00856	P01912	3			
PG00857	P01914	6			
PG00860	P01918	6			
PG00861	P01920	9			
PG00862	P01922	4			
PG00863	P01924	5			
PG00865	P01928	6			
PG00866	P01929	9			
PG00867	P01935	3			
PG00868	P01937	7			
PG00869	P01938	2			
PG00870	P01939	10			
PG00871	P01940	10			
PG00872	P01942	5			
PG00872b	P01942	4			
PG00873	P01947	5			
PG00874	P01948	8			
PG00875	P01949	4			
PG00878	P01956	4			
PG00879	P01957	8			
PG00880	P01958	4			
PG00881	P01962	5			
PG00882	P01964	4			
PG00883	P01968	5			
PG00884	P01970	3			
PG00886	P01972	13			
PG00887	P01974	4			
PG00888	P01975	6			
PG00889	P01976	3			
PG00891	P01981	6			
PG00892	P01984	3			
PG00893	P01985	3			
PG00894	P01986	5			
PG00895	P01989	6			
PG00897	P01994	7			
PG00897b	P01994	3			
PG00898	P01998	3			
PG00899	P02000	2			
PG00900	P02006	6			
PG00901	P02007	5			
PG00902	P02009	5			
PG00903	P02010	9			
PG00904	P02013	3			
PG00905	P02014	3			
PG00906	P02015	6			
PG00907	P02016	2			
PG00908	P02021	2			
PG00909	P02023	3			
PG00910	P02026	6			
PG00911	P02034	5			
PG00912	P02036	4			
PG00914	P02043	4			
PG00915	P02045	2			
PG00916	P02050;Q9ORPH17	9			
PG00917	P02051	4			
PG00918	P02053	4			
PG00919	P02055	3			
PG00921	P02061	2			
PG00922	P02062	3			
PG00923	P02063	2			
PG00924	P02069	3			
PG00925	P02072	3			
PG00926	P02073	7			
PG00927	P02075	2			
PG00929	P02079	3			
PG00930	P02080	6			
PG00931	P02082	7			
PG00932	P02084	8			
PG00934	P02088	5			
PG00935	P02090	2			
PG00936	P02092	6			
PG00937	P02093	5			
PG00938	P02096	5			
PG00939	P02097	4			
PG00941	P02101	7			
PG00942	P02102	6			
PG00943	P02104	7			
PG00947	P02110	5			
PG00948	P02112	4			
PG00949	P02114	4			
PG00951	P02120	5			
PG00952	P02122	6			
PG00953	P02130	7			
PG00954	P02131	4			
PG00955	P02133	7			
PG00956	P02134	8			
PG00957	P02138	6			
PG00959	P02145	5			
PG00960	P02147	5			
PG00961	P02151	3			
PG00962	P02154	3			
PG00963	P02156	10			
PG00964	P02157	3			
PG00965b	P02159	5			
PG00966	P02161	4			
PG00967	P02162	6			
PG00968	P02163	3			
PG00969	P02166	3			
PG00971	P02168	6			
PG00972	P02169	8			
PG00973	P02170	5			
PG00974	P02171	3			
PG00975	P02173	4			
PG00976	P02176	5			
PG00977	P02177	7			
PG00977b	P02177	3			
PG00978	P02181	6			
PG00979	P02183	2			
PG00980	P02186	8			
PG00981	P02187	4			
PG00985	P02196	4			
PG00986	P02197;Q9ORPH6	5			
PG00987	P02199	8			
PG00988	P02204	6			
PG00990	P02207	6			
PG00990b	P02207	2			
PG00992	P02209	10			
PG00993	P02210	4			
PG00995	P02215	2			
PG00997	P02218	5			
PG01000	P02224	6			
PG01001	P02225	7			
PG01002	P02228	9			
PG01002b	P02228	4			
PG01003	P02230	7			
PG01004	P02233	10			
PG01005	P02234	2			
PG01006	P02235	3			
PG01006b	P02235	8			
PG01007	P02238	4			
PG01008	P02239	3			
PG01009	P02240	7			
PG01010	P02242	4			
PG01011b	P02243	4			
PG01012	P02244	3			
PG01013	P02248	7			
PG01015	P02251	2			
PG01016	P02254	4			
PG01017	P02255	2			
PG01019	P02259	6			
PG01020	P02260	8			
PG01021	P02262	5			
PG01022	P02263;Q9ORPH9	6			
PG01023	P02264	4			
PG01024	P02265	6			
PG01026	P02270	6			
PG01027	P02272	3			
PG01028	P02274	4			
PG01029	P02278	6			
PG01030	P02279	2			
PG01031	P02281	4			
PG01032	P02282	2			
PG01033	P02286	7			
PG01034	P02287	2			
PG01035	P02289	5			
PG01036	P02290	12			
PG01037	P02293	9			
PG01038	P02294	7			
PG01039	P02297	9			
PG01040	P02303	6			
PG01041	P02304	7			
PG01042	P02305	3			
PG01043	P02306	5			
PG01044	P02307	3			
PG01046	P02313	2			
PG01046b	P02313	12			
PG01047	P02317	6			
PG01049	P02324	4			
PG01050	P02325	5			
PG01052	P02327	9			
PG01053	P02330	6			
PG01054	P02333	5			
PG01055	P02334	7			
PG01056	P02335	5			
PG01058	P02341	3			
PG01060	P02345	6			
PG01061	P02346	5			
PG01062	P02347	4			
PG01064	P02350	2			
PG01066b	P02353	5			
PG01067	P02355	3			
PG01068	P02356	3			
PG01068b	P02356	4			
PG01069	P02358	5			
PG01070	P02363	6			
PG01071	P02365	8			
PG01072	P02366	7			
PG01073	P02367	10			
PG01074	P02368	7			
PG01075	P02369	6			
PG01076	P02370	9			
PG01077	P02371	8			
PG01078	P02373	2			
PG01079	P02374	6			
PG01081	P02385	4			
PG01082	P02395	8			
PG01084	P02397	2			
PG01085	P02398	4			
PG01086	P02399	8			
PG01087	P02401	6			
PG01088	P02402	2			
PG01089	P02404	6			
PG01090	P02405	3			
PG01091	P02406	4			
PG01092	P02407	5			
PG01093	P02410	8			
PG01094	P02411	4			
PG01094b	P02411	7			
PG01095	P02412	3			
PG01096	P02419	6			
PG01097	P02421	5			
PG01098	P02422	4			
PG01099	P02424	5			
PG01100	P02428	2			
PG01101	P02430	6			
PG01103	P02434	3			
PG01104	P02436	5			
PG01105	P02438	3			
PG01106	P02443	5			
PG01108	P02446	3			
PG01108b	P02446	3			
PG01109	P02450	7			
PG01110	P02451	3			
PG01111	P02453	5			
PG01112	P02455	5			
PG01113	P02457	6			
PG01114	P02458	6			
PG01115	P02464	6			
PG01117	P02471	5			
PG01119	P02475	3			
PG01120	P02477	2			
PG01121	P02479	7			
PG01122	P02480	3			
PG01123	P02484	3			
PG01124	P02485	3			
PG01125	P02487	4			
PG01126	P02488	5			
PG01127	P02491	6			
PG01130	P02497	5			
PG01131	P02498	5			
PG01132	P02503	7			
PG01132b	P02503	4			
PG01133	P02505	4			
PG01134	P02507	9			
PG01135	P02512	4			
PG01136	P02513	4			
PG01137	P02514	8			
PG01138	P02515	10			
PG01139	P02516	3			
PG01140	P02517	6			
PG01141	P02518	4			
PG01142	P02519	6			
PG01143	P02520	6			
PG01144	P02525	7			
PG01145	P02526	2			
PG01146	P02527	3			
PG01147	P02528	6			
PG01148	P02531	7			
PG01149	P02534	3			
PG01150	P02536	3			
PG01154	P02548	4			
PG01155	P02550	5			
PG01156	P02552	6			
PG01157	P02557	5			
PG01157b	P02557	7			
PG01159	P02561	3			
PG01161	P02564	3			
PG01162	P02568	10			
PG01164	P02573	8			
PG01165	P02574	4			
PG01165b	P02574	4			
PG01166	P02576	4			
PG01168	P02580	5			
PG01169	P02582	4			
PG01169b	P02582	5			
PG01170	P02583	6			
PG01171	P02584	6			
PG01173	P02588	2			
PG01174	P02591	6			
PG01176	P02597	4			
PG01177	P02598	6			
PG01178	P02599	6			
PG01179	P02601	2			
PG01182	P02610	8			
PG01182b	P02610	4			
PG01183	P02611	4			
PG01184	P02612	9			
PG01185	P02615	7			
PG01186	P02616	6			
PG01187	P02618	4			
PG01188	P02619	2			
PG01189	P02621	3			
PG01190	P02623	5			
PG01191	P02624	8			
PG01192	P02627	6			
PG01193	P02628	4			
PG01194	P02634	3			
PG01196	P02640	9			
PG01197	P02644	7			
PG01198	P02645	5			
PG01199	P02648	7			
PG01200	P02649	6			
PG01202	P02653	2			
PG01205	P02657	4			
PG01207	P02661	2			
PG01209	P02663	6			
PG01210	P02666	5			
PG01211	P02670	3			
PG01211b	P02670	5			
PG01213	P02673	5			
PG01215	P02678	5			
PG01216	P02679	6			
PG01217	P02680	5			
PG01220	P02688	7			
PG01222	P02695	8			
PG01222b	P02695	2			
PG01223	P02698	4			
PG01224	P02700	7			
PG01225	P02712	3			
PG01230	P02719	8			
PG01231	P02724	3			
PG01232	P02725	6			
PG01233	P02726	3			
PG01234	P02727	3			
PG01235	P02730	2			
PG01236	P02732	4			
PG01238	P02734	7			
PG01239	P02736	4			
PG01240	P02737	7			
PG01241	P02743	8			
PG01242	P02745	2			
PG01242b	P02745	4			
PG01244	P02749	3			
PG01245	P02751	6			
PG01246	P02752	8			
PG01247	P02754	3			
PG01248	P02759	8			
PG01249	P02761	6			
PG01251	P02763	8			
PG01252	P02765	7			
PG01253	P02766	4			
PG01255	P02770	6			
PG01257	P02774	3			
PG01258	P02776	7			
PG01259	P02783	4			
PG01260	P02786	8			
PG01261	P02788	3			
PG01262	P02789	4			
PG01263	P02791	5			
PG01264	P02792	3			
PG01265	P02794	7			
PG01266	P02795	4			
PG01267	P02797	6			
PG01269	P02802	6			
PG01270	P02803	6			
PG01271	P02805	4			
PG01272	P02806	2			
PG01273	P02808	3			
PG01274	P02809	5			
PG01277	P02814	7			
PG01278	P02819	4			
PG01279	P02821	6			
PG01280	P02822	5			
PG01281	P02823	4			
PG01282	P02825	2			
PG01282b	P02825	8			
PG01284	P02830	4			
PG01285	P02831	6			
PG01286	P02834	7			
PG01286b	P02834	3			
PG01287	P02835	4			
PG01288	P02839	8			
PG01289	P02840	2			
PG01290	P02842	6			
PG01291	P02845	5			
PG01291b	P02845	2			
PG01292	P02847	8			
PG01293	P02848	8			
PG01294	P02849	2			
PG01295	P02850	7			
PG01297	P02854	3			
PG01298	P02855	3			
PG01299	P02858	8			
PG01300	P02869	5			
PG01301	P02870	6			
PG01302	P02872	2			
PG01303	P02877	8			
PG01305	P02879	4			
PG01305b	P02879	5			
PG01306	P02880	4			
PG01308	P02882	7			
PG01309	P02884	7			
PG01310	P02885	5			
PG01311	P02887	4			
PG01314	P02891	8			
PG01315	P02893	8			
PG01316	P02897	6			
PG01317	P02899	6			
PG01318	P02902	5			
PG01319	P02906	6			
PG01321	P02910	5			
PG01322	P02911	6			
PG01324	P02916	6			
PG01325	P02919	5			
PG01326	P02921	8			
PG01327	P02923	6			
PG01328	P02924	2			
PG01329	P02925	4			
