gene_id	archetype	rna_responds	prot_responds	regulated	amplitude_a	t_half_M0_h	t_half_M1_h	identifiable	lrt	lrt_p	lrt_fdr	gof_M0_p	rna_any_fdr	prot_any_fdr	lfc_rna_t0	lfc_rna_t6	lfc_rna_t24	lfc_rna_t48	lfc_prot_t0	lfc_prot_t6	lfc_prot_t24	lfc_prot_t48	pred_prot_t0	pred_prot_t6	pred_prot_t24	pred_prot_t48
ENSG00000095	buffered	TRUE	TRUE	TRUE	0.412	79.49	3.74	FALSE	6.964	0.00831711984100959	0.0441334492971882	0.00249403516297262	2.71763190121988e-62	0.000678550977912953	0	2.171	2.121	2.32	0	0.39	1.32	0.545	0	0.096	0.638	1.101
ENSG00000096	unchanged	FALSE	FALSE	FALSE	-3.75	288	10.64	FALSE	5.179	0.0228653346148015	0.0965242502092582	0.00887411112584599	0.448281544432216	0.351409002250616	0	0.111	0.283	-0.127	0	-0.651	-0.498	-0.267	0	0.001	0.01	0.014
ENSG00000100	anticorrelated	TRUE	TRUE	TRUE	-8.969	288	288	FALSE	75.732	3.24850719407824e-18	9.79100068295181e-17	5.96159880279363e-23	1.85007714108784e-30	1.84517533106713e-05	0	0.892	1.914	2.371	0	-2.046	-0.239	-3.241	0	0.008	0.108	0.341
ENSG00000101	unchanged	FALSE	FALSE	FALSE	-5.546	288	8.35	FALSE	19.689	9.1145538955242e-06	9.88175015867264e-05	5.19167488977397e-09	0.818272150044717	0.0739427142537452	0	-0.171	-0.052	-0.294	0	0.745	1.345	0.577	0	-0.001	-0.006	-0.015
ENSG00000102	kinetics_limited	TRUE	TRUE	FALSE	2.33	93.37	288	FALSE	0.395	0.529819865078645	0.753955180994824	0.305475489890282	4.73756206340133e-81	0.00404971646707078	0	2.209	2.558	2.448	0	-0.348	0.574	1.286	0	0.084	0.663	1.17
ENSG00000109	kinetics_limited	TRUE	FALSE	FALSE	-9.409	288	288	FALSE	3.145	0.0761764508304249	0.231447402019053	0.144957575864104	3.8621340949697e-22	0.594985157719102	0	-2.432	-2.099	-1.116	0	-0.154	0.054	1.361	0	-0.011	-0.06	-0.114
ENSG00000111	unchanged	FALSE	FALSE	FALSE	1.135	2.94	3.18	TRUE	0.014	0.905032260501011	0.955769878468832	0.90951310303568	0.957798872666288	0.97439884358171	0	-0.358	-0.287	-0.108	0	-0.126	-0.43	-0.024	0	-0.161	-0.301	-0.139
ENSG00000112	unchanged	FALSE	FALSE	FALSE	3.336	4.05	11.53	TRUE	0.401	0.526370039949831	0.752241708361734	0.770392116952129	0.934203724284717	0.981751009704683	0	0.048	0.157	-0.109	0	0.115	0.25	0.051	0	0.018	0.122	-0.045
ENSG00000114	kinetics_limited	TRUE	FALSE	FALSE	-0.119	288	0.5	FALSE	0.769	0.380474527175786	0.639927580863738	0.460222725220074	1.36347958570776e-25	0.552438093040804	0	0.75	1.243	1.215	0	-0.195	-0.314	0.088	0	0.006	0.066	0.163
ENSG00000116	protein_only	FALSE	TRUE	FALSE	8.253	32.81	288	TRUE	0.07	0.790847017540281	0.897961427985793	0.0415947817876139	0.496444640172854	0.0378004971503306	0	0.065	0.209	0.259	0	-0.722	-0.129	0.244	0	0.004	0.049	0.127
ENSG00000119	protein_only	FALSE	TRUE	FALSE	12.619	0.5	0.5	TRUE	19.666	9.22095347139859e-06	9.92569777242691e-05	6.32692723265243e-10	0.980872617550279	3.59223226329625e-05	0	-0.072	0.079	0.05	0	-1.912	0.272	0.18	0	-0.064	0.073	0.051
ENSG00000120	unchanged	FALSE	FALSE	FALSE	0.736	0.5	0.5	TRUE	0.12	0.729506732187108	0.873900354058801	0.249097339753141	0.955381671902621	0.33639625353874	0	-0.204	-0.307	-0.153	0	-0.467	0.071	-0.297	0	-0.18	-0.303	-0.158
ENSG00000122	unchanged	FALSE	FALSE	FALSE	4.203	4.39	20.24	TRUE	6.858	0.00882311752011471	0.0464910423175275	0.031635904451828	0.130743165906674	0.430232353726689	0	0.506	0.036	0.381	0	0.192	0.669	0.809	0	0.19	0.178	0.298
ENSG00000123	unchanged	FALSE	FALSE	FALSE	-1.896	288	0.54	FALSE	6.681	0.00974532724123472	0.0505079566305902	0.0113682252130053	0.506930417996837	0.390244158684671	0	-0.307	-0.086	-0.207	0	0.415	-0.107	0.639	0	-0.002	-0.01	-0.017
ENSG00000125	unchanged	FALSE	FALSE	FALSE	47.695	13.54	288	TRUE	2.243	0.134224876297317	0.336567202296268	0.191963658164894	0.988504506927364	0.672587013159102	0	0.053	0.157	0.003	0	-0.235	0.116	0.52	0	0.007	0.072	0.067
ENSG00000126	concordant	TRUE	TRUE	FALSE	0.819	9.05	3.74	TRUE	1.634	0.20109390804774	0.445659587394035	0.439647897014192	5.32922698413142e-36	6.12587134948897e-06	0	1.673	1.827	1.724	0	0.651	1.422	1.448	0	0.441	1.531	1.727
ENSG00000129	unchanged	FALSE	FALSE	FALSE	1.933	0.5	0.5	TRUE	0.57	0.450278030921032	0.703180303210359	0.564402411675019	0.671757493271717	0.740487163033388	0	0.151	0.116	-0.148	0	0.257	0.064	-0.408	0	0.133	0.117	-0.141
ENSG00000134	unchanged	FALSE	FALSE	FALSE	-3.486	288	7.11	FALSE	2.821	0.093044361126851	0.260851187950522	0.00655784679527341	0.849588909502198	0.722247344949538	0	0.012	-0.078	0.253	0	-0.569	-0.387	-0.593	0	0	-0.001	0.004
ENSG00000136	kinetics_limited	TRUE	FALSE	FALSE	0.245	86.15	4.76	FALSE	1.421	0.233254332164011	0.487537140875402	0.0594109884360601	2.24441700630924e-25	0.0956320411782863	0	-1.405	-1.554	-1.013	0	0.308	-0.638	-0.061	0	-0.025	-0.154	-0.297
ENSG00000138	unchanged	FALSE	FALSE	FALSE	1.448	0.5	0.75	TRUE	0.615	0.43298438241884	0.686127722718394	0.425829531870239	0.571139362708807	0.646356539178727	0	-0.404	-0.097	-0.368	0	-0.555	-0.389	-0.371	0	-0.355	-0.109	-0.359
ENSG00000141	unchanged	FALSE	FALSE	FALSE	0.979	0.69	0.64	TRUE	0.001	0.978751956629849	0.99058374656896	0.504430030489834	0.0982485560921004	0.653034352058135	0	-0.629	-0.096	-0.439	0	-0.623	-0.414	-0.202	0	-0.521	-0.125	-0.424
ENSG00000145	kinetics_limited	TRUE	FALSE	FALSE	5.089	57.62	288	FALSE	0.061	0.805495658165364	0.903844538979344	0.0513478790767802	1.9951580067093e-20	0.207712140429193	0	-1.9	-2.479	-2.523	0	-0.454	0.621	-1.028	0	-0.046	-0.281	-0.598
ENSG00000149	unchanged	FALSE	FALSE	FALSE	-1.38	288	2.5	FALSE	3.907	0.0480947570856802	0.168358868616809	0.0442946770590468	0.71688020020619	0.138852578592406	0	0.38	0.279	0.241	0	-0.296	-0.711	0.036	0	0.003	0.018	0.033
ENSG00000155	unchanged	FALSE	FALSE	FALSE	0.944	18.68	17.24	TRUE	0.001	0.976627385645569	0.990428983962229	0.718631068590818	0.126005808907354	0.844512235382851	0	-0.277	-0.612	-0.249	0	-0.27	-0.179	-0.325	0	-0.027	-0.222	-0.324
ENSG00000156	concordant	TRUE	TRUE	FALSE	0.896	8.35	5.59	TRUE	0.693	0.405226145169322	0.667405246743353	0.7052975922025	5.52032224450706e-56	1.91372611015817e-12	0	2.18	2.147	2.145	0	0.755	1.862	1.912	0	0.66	1.933	2.118
ENSG00000157	concordant	TRUE	TRUE	FALSE	0.749	20.24	6.56	TRUE	0.828	0.362938911082781	0.625084501716287	0.603810782383461	1.46548379085683e-67	0.000562322315019845	0	1.413	2.111	2.681	0	0.41	1.223	1.887	0	0.183	1.155	2.01
ENSG00000160	unchanged	FALSE	FALSE	FALSE	1.161	0.5	0.5	TRUE	0.027	0.869530486691729	0.939342253365187	0.488407214578493	0.128900301620539	0.365109849950108	0	-0.971	-0.07	-0.081	0	-1.118	0.859	0.008	0	-0.849	-0.106	-0.081
ENSG00000162	unchanged	FALSE	FALSE	FALSE	-0.275	288	3.74	FALSE	0.087	0.768027380765551	0.886556761689963	0.811925117950668	0.882931869762973	0.774737809790791	0	0.083	0.162	0.205	0	0.083	-0.144	0.005	0	0.001	0.006	0.017
ENSG00000163	kinetics_limited	TRUE	TRUE	FALSE	-0.078	288	0.5	FALSE	2.15	0.142549948341338	0.352746752299502	0.000399611496279389	3.84024543554896e-54	0.00870615511428503	0	1.743	2.044	1.77	0	-0.928	0.367	-0.039	0	0.019	0.174	0.351
ENSG00000164	unchanged	FALSE	FALSE	FALSE	0.584	5.16	0.5	TRUE	0.083	0.773207916494682	0.887451888924208	0.00100936637988408	0.594022063233687	0.566078870845059	0	-0.024	0.112	-0.302	0	-0.74	-0.514	-0.328	0	-0.008	0.063	-0.176
ENSG00000166	unchanged	FALSE	FALSE	FALSE	-6.693	288	288	FALSE	2.35	0.125321101634058	0.320099830783942	0.208896412251902	0.26123640708447	0.881394390356846	0	-0.439	-0.59	-0.45	0	0.06	-0.056	0.392	0	-0.003	-0.021	-0.045
ENSG00000168	unchanged	FALSE	FALSE	FALSE	-0.469	21.94	0.5	TRUE	0.122	0.727055580832343	0.872350923817151	0.278778065073322	0.839941864953472	0.778848094602798	0	-0.253	0.01	-0.249	0	0.14	-0.429	0.082	0	-0.021	-0.058	-0.098
ENSG00000177	kinetics_limited	TRUE	FALSE	FALSE	0.28	192.61	4.76	FALSE	1.868	0.171714982132961	0.396609272600707	0.256148135110548	7.66169943304772e-60	0.538607309302096	0	2.285	3.144	2.49	0	0.09	1.046	0.547	0	0.044	0.47	0.893
ENSG00000178	unchanged	FALSE	FALSE	FALSE	2.125	0.5	1.42	TRUE	2.457	0.117026199161703	0.308319024714486	0.0578643610523548	0.607127737196427	0.661349883842113	0	0.015	-0.259	-0.346	0	-0.483	-0.555	-0.687	0	0.013	-0.248	-0.343
ENSG00000180	protein_only	FALSE	TRUE	FALSE	3.301	0.5	0.5	TRUE	1.931	0.164687132537812	0.385378119152924	0.000221169041245361	0.967865240722399	0.0110823402359885	0	0.108	-0.107	0.159	0	1.011	-0.993	-0.373	0	0.095	-0.098	0.151
ENSG00000186	concordant	TRUE	TRUE	FALSE	1.057	3.74	4.39	TRUE	0.295	0.587347412377665	0.781836160192971	0.576804859005092	3.4199606006999e-70	2.63175536471166e-11	0	1.477	2.151	2.226	0	0.553	2.198	2.204	0	0.685	1.951	2.207
ENSG00000188	unchanged	FALSE	FALSE	FALSE	-123.015	288	288	FALSE	1.534	0.215516542579798	0.463976328096793	0.0096973958572974	0.737272188298333	0.141665788788423	0	0.017	0.034	0.08	0	1.188	0.279	-0.701	0	0	0.001	0.004
ENSG00000190	kinetics_limited	TRUE	FALSE	FALSE	-3.527	288	288	FALSE	1.086	0.297338491831044	0.558714597492997	0.0447142368082661	0.0360779585136296	0.511126655209148	0	-0.328	-0.882	-0.604	0	0.425	-0.306	0.34	0	-0.002	-0.023	-0.055
ENSG00000192	unchanged	FALSE	FALSE	FALSE	-2.864	288	9.81	FALSE	1.696	0.19287291673028	0.432236916370953	0.200387752960279	0.328166864364389	0.952498617450853	0	0.014	0.154	0.072	0	-0.346	-0.188	-0.284	0	0	0.004	0.01
ENSG00000194	kinetic_lag	TRUE	FALSE	FALSE	0.297	38.53	0.5	TRUE	1.586	0.207838220179069	0.454589546893842	0.0445928243602261	5.93389417782149e-21	0.305756819751203	0	-0.181	-1.502	-1.59	0	-0.608	-0.423	-0.421	0	-0.009	-0.193	-0.54
ENSG00000196	kinetics_limited	TRUE	TRUE	FALSE	0.545	62.44	11.53	FALSE	1.694	0.193029492181587	0.432236916370953	0.391810098756727	3.73169738482561e-101	6.99824247129579e-05	0	2.353	2.766	2.778	0	0.238	1.26	1.4	0	0.137	0.983	1.638
ENSG00000197	unchanged	FALSE	FALSE	FALSE	-1.953	245.19	0.5	FALSE	2.904	0.0883761693072558	0.251619360262459	0.233553719953527	0.232034711367194	0.410679017820215	0	0.118	-0.27	0.185	0	-0.214	0.48	-0.352	0	0.001	-0.003	-0.005
ENSG00000198	concordant	TRUE	TRUE	FALSE	1.095	11.53	14.67	TRUE	0.086	0.769090987274066	0.886556761689963	0.894967369339037	1.96649794641421e-50	6.18344584516844e-06	0	0.903	1.968	1.98	0	0.256	1.161	1.927	0	0.171	1.221	1.829
ENSG00000199	concordant	TRUE	TRUE	FALSE	2.414	14.67	45.26	TRUE	1.014	0.314000629130894	0.573574482545766	0.602246394974103	5.50198004010422e-39	0.000739916628641769	0	-2.391	-1.489	-0.973	0	-0.167	-0.822	-1.345	0	-0.202	-0.916	-1.087
ENSG00000203	kinetic_lag	TRUE	FALSE	FALSE	1.25	41.76	57.62	TRUE	0.012	0.911249942109038	0.956971193559805	0.391934175618375	2.46489530770776e-22	0.422319179301304	0	1.127	1.404	0.877	0	0.422	0.382	0.797	0	0.07	0.489	0.733
ENSG00000206	unchanged	FALSE	FALSE	FALSE	15.149	14.67	288	TRUE	1.725	0.18900051057209	0.427022143076671	0.0944402779265035	0.0573446949607148	0.328173974044347	0	-1.989	-1.19	-0.908	0	-0.746	-0.358	-1.547	0	-0.18	-0.792	-0.943
ENSG00000207	unchanged	FALSE	FALSE	FALSE	13.746	15.9	288	TRUE	0.114	0.736150263644678	0.87794209357806	0.902505154334909	0.808897105487084	0.973224251783937	0	-0.043	-0.241	-0.134	0	-0.004	-0.001	-0.246	0	-0.005	-0.084	-0.144
ENSG00000209	unchanged	FALSE	FALSE	FALSE	-1.043	27.93	0.5	TRUE	1.235	0.266459051090109	0.522176579964622	0.020306069969308	0.41092334231118	0.172129208821097	0	0.409	0.267	-0.061	0	-0.766	0.302	0.422	0	0.032	0.148	0.122
ENSG00000210	unchanged	FALSE	FALSE	FALSE	-7.81	288	21.94	FALSE	8.603	0.00335539749277638	0.0205552196000569	0.00256742354870956	0.41487383900169	0.642326017706713	0	0.489	-0.073	-0.085	0	-0.883	-0.627	-0.32	0	0.004	0.014	0.009
ENSG00000211	unchanged	FALSE	FALSE	FALSE	-1.198	21.94	0.5	TRUE	1.397	0.237147627270149	0.492939964546364	0.231267695272249	0.586956468574316	0.603188493834565	0	-0.243	0.24	0.039	0	0.33	-0.263	0.295	0	-0.021	0.001	0.07
ENSG00000213	concordant	TRUE	FALSE	FALSE	8.123	23.78	288	TRUE	0.568	0.450874055619301	0.703382196499262	0.12969584365157	2.38361042078702e-09	0.082064416235917	0	0.483	0.62	0.653	0	-0.506	0.183	0.658	0	0.044	0.276	0.47
ENSG00000214	protein_only	FALSE	TRUE	FALSE	-4.109	62.44	2.71	FALSE	6.606	0.0101621524839676	0.0520896727664599	9.36022399985304e-07	0.674712820360956	0.000325961748561228	0	0.225	-0.079	-0.134	0	0.286	0.819	1.102	0	0.008	0.019	-0.009
ENSG00000215	unchanged	FALSE	FALSE	FALSE	2.458	0.5	0.64	TRUE	2.03	0.154193142915803	0.371105950807622	0.0603707027417146	0.350941773442956	0.767571826854403	0	-0.168	-0.05	-0.2	0	-0.49	-0.535	-0.261	0	-0.148	-0.055	-0.196
ENSG00000219	unchanged	FALSE	FALSE	FALSE	-2.321	288	5.16	FALSE	4.693	0.0302795597313757	0.118831501341623	0.0508472357130957	0.732639758294156	0.846553532056459	0	0.27	-0.047	0.362	0	-0.478	-0.272	-0.445	0	0.002	0.007	0.016
ENSG00000220	concordant	TRUE	TRUE	FALSE	0.994	2.94	2.94	TRUE	0.006	0.938053978012613	0.969278760498685	0.995870893141616	4.02554493219608e-57	1.5444774410879e-12	0	2.03	2.387	2.71	0	1.101	2.283	2.646	0	1.118	2.298	2.654
ENSG00000221	unchanged	FALSE	FALSE	FALSE	1.774	5.59	7.71	TRUE	0.305	0.580949884083349	0.781836160192971	0.73037960454734	0.604466724422604	0.390244158684671	0	0.254	0.073	0.146	0	0.093	0.324	0.119	0	0.078	0.127	0.125
ENSG00000222	kinetics_limited	TRUE	FALSE	FALSE	0.123	288	4.76	FALSE	0.434	0.510203449297873	0.742406675542357	0.408434704919517	5.44049656509967e-27	0.3771132548914	0	-1.623	-1.224	-0.428	0	0.142	-0.315	0.105	0	-0.008	-0.047	-0.08
ENSG00000223	protein_only	FALSE	TRUE	FALSE	-27.976	288	13.54	FALSE	106.416	5.97604799924152e-25	2.64879539260499e-23	2.89725105364752e-36	0.910660554257184	2.24359323392408e-12	0	-0.259	0.007	-0.099	0	0.11	3.574	0.417	0	-0.002	-0.007	-0.009
ENSG00000225	unchanged	FALSE	FALSE	FALSE	-2.192	288	8.35	FALSE	3.547	0.0596613057653003	0.192939029588643	0.0585090130140506	0.423119155504776	0.461574444604324	0	0.23	-0.123	-0.337	0	0.247	0.075	0.577	0	0.002	0.004	-0.008
ENSG00000227	unchanged	FALSE	FALSE	FALSE	3.965	67.68	288	FALSE	0.009	0.926324445063897	0.964734581002967	0.308109013725727	0.425909945599083	0.784637707431235	0	-0.475	-0.556	-0.297	0	0.432	-0.141	-0.168	0	-0.013	-0.086	-0.153
ENSG00000228	concordant	TRUE	TRUE	FALSE	0.935	2.5	2.31	TRUE	0.538	0.463195948998718	0.712211539876513	0.44140335748089	1.44684841859719e-64	3.9439698618008e-10	0	2.728	2.218	1.581	0	1.602	2.339	1.335	0	1.68	2.316	1.68
ENSG00000232	unchanged	FALSE	FALSE	FALSE	1.914	0.5	0.5	TRUE	0.514	0.473212603397183	0.717379931904734	0.0542223752735356	0.674712820360956	0.289439265288071	0	0.119	-0.106	-0.179	0	0.631	-0.479	0.077	0	0.105	-0.097	-0.177
ENSG00000233	unchanged	FALSE	FALSE	FALSE	-0.187	288	0.5	FALSE	0.132	0.716409755227077	0.867210197219961	0.0836004053470724	0.512805029070859	0.31029298422048	0	0.051	-0.587	-0.144	0	-0.659	0.075	-0.053	0	0	-0.01	-0.027
ENSG00000235	protein_only	FALSE	TRUE	FALSE	5.849	0.5	6.56	TRUE	17.23	3.31142833062302e-05	0.000332688166283259	9.83077764624967e-06	0.809386194457193	0.0155090958364261	0	-0.002	0.266	0.137	0	0.624	0.878	1.021	0	-0.002	0.256	0.141
